source,domain,accuracy,loss,batch_size,learning_rate,conv_channels,hidden_sizes,dropout_prob
WAL,10,0.9705882352941176,0.1494325752925691,16,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,11,0.9535283993115319,0.2513226930181647,16,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,12,0.9618717504332756,0.16772051328494816,16,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,13,0.9467084639498433,0.2505523764501703,16,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,14,0.9311531841652324,0.3876527623049979,16,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,10,0.8785488958990536,0.5932356773038009,16,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,11,0.8125,1.029147521485533,16,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,12,0.8489932885906041,0.8097487253974243,16,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,13,0.9447674418604651,0.20226881517645656,16,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,14,0.7170418006430869,1.764708201971352,16,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,10,0.9367647058823529,0.36367242687507173,16,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,11,0.8408736349453978,0.9944678872662709,16,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,12,0.9322289156626506,0.4208969174465456,16,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,13,0.9923954372623575,0.017293071169798637,16,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,14,0.9145962732919255,0.669985322431247,16,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,10,0.8411949685534591,0.6630743013757637,16,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,11,0.9483037156704361,0.41287121267436877,16,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,12,0.912828947368421,0.44781637667733776,16,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,13,0.964,0.18872552853002134,16,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,14,0.9340836012861736,0.3672615582527921,16,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,10,0.9689542483660131,0.13998985563230235,32,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,11,0.9466437177280551,0.24322341287872978,32,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,12,0.949740034662045,0.25910249184520534,32,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,13,0.9404388714733543,0.272060729277041,32,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,14,0.9414802065404475,0.2784952145375428,32,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,10,0.886435331230284,0.5765854577650316,32,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,11,0.8091216216216216,1.049530486293478,32,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,12,0.8691275167785235,0.7227127830870144,32,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,13,0.9593023255813954,0.12709564690224148,32,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,14,0.7958199356913184,1.2848272858245764,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,10,0.9544117647058824,0.20101451338368034,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,11,0.906396255850234,0.41559360553955704,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,12,0.9382530120481928,0.26882145529521584,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,13,0.9885931558935361,0.034759053114826466,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,14,0.8633540372670807,0.8283506868357714,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,10,0.910377358490566,0.36740007187763696,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,11,0.9547657512116317,0.43488350809363824,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,12,0.899671052631579,0.49162214457575265,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,13,0.998,0.008140213256865536,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,14,0.9453376205787781,0.29101263625966567,32,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,10,0.9428104575163399,0.23889114134944975,64,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,11,0.927710843373494,0.3789707853638902,64,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,12,0.9549393414211439,0.1631197505444561,64,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,13,0.9529780564263323,0.21935085249715486,64,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,14,0.927710843373494,0.42767708719547953,64,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,10,0.8517350157728707,0.6229340344667434,64,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,11,0.8125,0.9424400250893086,64,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,12,0.8406040268456376,0.7100931491702795,64,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,13,0.9738372093023255,0.17458542378153652,64,0.0001,"[16, 32, 64, 128]",[100],0.25
