source,domain,accuracy,loss,batch_size,learning_rate,conv_channels,hidden_sizes,dropout_prob
WAL,10,0.9509803921568627,0.14902781504933954,32,5e-05,"[16, 32, 64]",[100],0.25
WAL,11,0.9466437177280551,0.27110960123512706,32,5e-05,"[16, 32, 64]",[100],0.25
WAL,12,0.9601386481802426,0.15568591171993257,32,5e-05,"[16, 32, 64]",[100],0.25
WAL,13,0.9655172413793104,0.13204232751213568,32,5e-05,"[16, 32, 64]",[100],0.25
WAL,14,0.9483648881239243,0.17524622344277113,32,5e-05,"[16, 32, 64]",[100],0.25
RUN,10,0.8801261829652997,0.43832825295394284,32,5e-05,"[16, 32, 64]",[100],0.25
RUN,11,0.7922297297297297,1.0076562301094925,32,5e-05,"[16, 32, 64]",[100],0.25
RUN,12,0.8640939597315436,0.5713716627735841,32,5e-05,"[16, 32, 64]",[100],0.25
RUN,13,0.9593023255813954,0.1463088615247133,32,5e-05,"[16, 32, 64]",[100],0.25
RUN,14,0.7266881028938906,1.3865925100864842,32,5e-05,"[16, 32, 64]",[100],0.25
CLD,10,0.9441176470588235,0.20099569657494695,32,5e-05,"[16, 32, 64]",[100],0.25
CLD,11,0.9329173166926678,0.2399496914443998,32,5e-05,"[16, 32, 64]",[100],0.25
CLD,12,0.9397590361445783,0.2286316871827044,32,5e-05,"[16, 32, 64]",[100],0.25
CLD,13,0.9638783269961977,0.18187080954989784,32,5e-05,"[16, 32, 64]",[100],0.25
CLD,14,0.8540372670807453,0.555471013099339,32,5e-05,"[16, 32, 64]",[100],0.25
CLU,10,0.9355345911949685,0.1940649003838189,32,5e-05,"[16, 32, 64]",[100],0.25
CLU,11,0.9579967689822294,0.2071191952571098,32,5e-05,"[16, 32, 64]",[100],0.25
CLU,12,0.9276315789473685,0.3390919114512455,32,5e-05,"[16, 32, 64]",[100],0.25
CLU,13,0.978,0.16438860889871876,32,5e-05,"[16, 32, 64]",[100],0.25
CLU,14,0.9421221864951769,0.2348458874044809,32,5e-05,"[16, 32, 64]",[100],0.25
WAL,10,0.9558823529411765,0.1897423841051932,32,5e-05,"[32, 64, 128]",[100],0.25
WAL,11,0.9414802065404475,0.32743456658004344,32,5e-05,"[32, 64, 128]",[100],0.25
WAL,12,0.9584055459272097,0.15443032558926903,32,5e-05,"[32, 64, 128]",[100],0.25
WAL,13,0.9686520376175548,0.09311846377750044,32,5e-05,"[32, 64, 128]",[100],0.25
WAL,14,0.9397590361445783,0.28552550023749446,32,5e-05,"[32, 64, 128]",[100],0.25
RUN,10,0.8675078864353313,0.5848776657599956,32,5e-05,"[32, 64, 128]",[100],0.25
RUN,11,0.7567567567567568,1.1017125613560845,32,5e-05,"[32, 64, 128]",[100],0.25
RUN,12,0.8456375838926175,0.7200669045192435,32,5e-05,"[32, 64, 128]",[100],0.25
RUN,13,0.9680232558139535,0.1528565527564338,32,5e-05,"[32, 64, 128]",[100],0.25
RUN,14,0.72508038585209,1.5919081085827202,32,5e-05,"[32, 64, 128]",[100],0.25
CLD,10,0.9426470588235294,0.19241546405766546,32,5e-05,"[32, 64, 128]",[100],0.25
CLD,11,0.8783151326053042,0.47679955549401276,32,5e-05,"[32, 64, 128]",[100],0.25
CLD,12,0.9352409638554217,0.26042584387821643,32,5e-05,"[32, 64, 128]",[100],0.25
CLD,13,0.9904942965779467,0.06643889808273183,32,5e-05,"[32, 64, 128]",[100],0.25
CLD,14,0.90527950310559,0.5684094704125268,32,5e-05,"[32, 64, 128]",[100],0.25
CLU,10,0.8301886792452831,0.6458615127092344,32,5e-05,"[32, 64, 128]",[100],0.25
CLU,11,0.9563812600969306,0.2795918592023554,32,5e-05,"[32, 64, 128]",[100],0.25
CLU,12,0.90625,0.4910982120266657,32,5e-05,"[32, 64, 128]",[100],0.25
CLU,13,0.982,0.04580782305979625,32,5e-05,"[32, 64, 128]",[100],0.25
CLU,14,0.9260450160771704,0.4380216173339875,32,5e-05,"[32, 64, 128]",[100],0.25
WAL,10,0.9411764705882353,0.22926368538928726,32,5e-05,"[64, 128, 256]",[100],0.25
WAL,11,0.9294320137693631,0.3943043204209947,32,5e-05,"[64, 128, 256]",[100],0.25
WAL,12,0.9618717504332756,0.15361563882046134,32,5e-05,"[64, 128, 256]",[100],0.25
WAL,13,0.9623824451410659,0.1356390962063415,32,5e-05,"[64, 128, 256]",[100],0.25
WAL,14,0.9449225473321858,0.20891385677379049,32,5e-05,"[64, 128, 256]",[100],0.25
RUN,10,0.8832807570977917,0.49453565462026744,32,5e-05,"[64, 128, 256]",[100],0.25
RUN,11,0.7719594594594594,1.36426159649732,32,5e-05,"[64, 128, 256]",[100],0.25
RUN,12,0.8489932885906041,0.8904923707381577,32,5e-05,"[64, 128, 256]",[100],0.25
RUN,13,0.9593023255813954,0.21353947297426534,32,5e-05,"[64, 128, 256]",[100],0.25
RUN,14,0.7395498392282959,1.6233912439500273,32,5e-05,"[64, 128, 256]",[100],0.25
CLD,10,0.9426470588235294,0.22082939633748372,32,5e-05,"[64, 128, 256]",[100],0.25
CLD,11,0.9126365054602185,0.46977447093266145,32,5e-05,"[64, 128, 256]",[100],0.25
CLD,12,0.9337349397590361,0.31513067263357525,32,5e-05,"[64, 128, 256]",[100],0.25
CLD,13,0.9923954372623575,0.02668610266423724,32,5e-05,"[64, 128, 256]",[100],0.25
CLD,14,0.8478260869565217,0.9767301367200529,32,5e-05,"[64, 128, 256]",[100],0.25
CLU,10,0.9072327044025157,0.32507462030407624,32,5e-05,"[64, 128, 256]",[100],0.25
CLU,11,0.9563812600969306,0.3754918788624167,32,5e-05,"[64, 128, 256]",[100],0.25
CLU,12,0.9144736842105263,0.5244349201493067,32,5e-05,"[64, 128, 256]",[100],0.25
CLU,13,0.994,0.021944657072282325,32,5e-05,"[64, 128, 256]",[100],0.25
CLU,14,0.9405144694533762,0.33033567743850656,32,5e-05,"[64, 128, 256]",[100],0.25
