source,domain,accuracy,loss,batch_size,learning_rate,conv_channels,hidden_sizes,dropout_prob
WAL,10,0.954248366013072,0.15168218676117248,32,5e-05,"[16, 32, 64]",[100],0
WAL,11,0.9449225473321858,0.2815760806824983,32,5e-05,"[16, 32, 64]",[100],0
WAL,12,0.9636048526863085,0.15559451707773214,32,5e-05,"[16, 32, 64]",[100],0
WAL,13,0.9655172413793104,0.12831418348941953,32,5e-05,"[16, 32, 64]",[100],0
WAL,14,0.9449225473321858,0.18421936843476847,32,5e-05,"[16, 32, 64]",[100],0
RUN,10,0.8801261829652997,0.4537888775463216,32,5e-05,"[16, 32, 64]",[100],0
RUN,11,0.7972972972972973,1.0370776527013637,32,5e-05,"[16, 32, 64]",[100],0
RUN,12,0.8573825503355704,0.5937541734035078,32,5e-05,"[16, 32, 64]",[100],0
RUN,13,0.9593023255813954,0.1524703887354752,32,5e-05,"[16, 32, 64]",[100],0
RUN,14,0.7234726688102894,1.4613162762485445,32,5e-05,"[16, 32, 64]",[100],0
CLD,10,0.9470588235294117,0.20595180394940887,32,5e-05,"[16, 32, 64]",[100],0
CLD,11,0.9329173166926678,0.24780083349447696,32,5e-05,"[16, 32, 64]",[100],0
CLD,12,0.9367469879518072,0.2330717855761144,32,5e-05,"[16, 32, 64]",[100],0
CLD,13,0.9657794676806084,0.16404935976767293,32,5e-05,"[16, 32, 64]",[100],0
CLD,14,0.8555900621118012,0.5740776344418486,32,5e-05,"[16, 32, 64]",[100],0
CLU,10,0.9276729559748428,0.2158923836366739,32,5e-05,"[16, 32, 64]",[100],0
CLU,11,0.9579967689822294,0.2303596227131493,32,5e-05,"[16, 32, 64]",[100],0
CLU,12,0.9259868421052632,0.34805213981013894,32,5e-05,"[16, 32, 64]",[100],0
CLU,13,0.982,0.11210015876304169,32,5e-05,"[16, 32, 64]",[100],0
CLU,14,0.9421221864951769,0.2450871939256558,32,5e-05,"[16, 32, 64]",[100],0
WAL,10,0.9215686274509803,0.23778142347582615,32,5e-05,"[16, 32, 64]",[100],0.25
WAL,11,0.9414802065404475,0.26341409424041656,32,5e-05,"[16, 32, 64]",[100],0.25
WAL,12,0.9480069324090121,0.18811046862015246,32,5e-05,"[16, 32, 64]",[100],0.25
WAL,13,0.9623824451410659,0.09697879774762441,32,5e-05,"[16, 32, 64]",[100],0.25
WAL,14,0.9397590361445783,0.16717330474210412,32,5e-05,"[16, 32, 64]",[100],0.25
RUN,10,0.8785488958990536,0.3925012990832329,32,5e-05,"[16, 32, 64]",[100],0.25
RUN,11,0.785472972972973,0.9193935011709599,32,5e-05,"[16, 32, 64]",[100],0.25
RUN,12,0.8003355704697986,0.8305469143853866,32,5e-05,"[16, 32, 64]",[100],0.25
RUN,13,0.9622093023255814,0.12666548026556318,32,5e-05,"[16, 32, 64]",[100],0.25
RUN,14,0.7170418006430869,1.3570230199809885,32,5e-05,"[16, 32, 64]",[100],0.25
CLD,10,0.925,0.2076320881923576,32,5e-05,"[16, 32, 64]",[100],0.25
CLD,11,0.8970358814352574,0.3835161235385299,32,5e-05,"[16, 32, 64]",[100],0.25
CLD,12,0.9382530120481928,0.2802403735207311,32,5e-05,"[16, 32, 64]",[100],0.25
CLD,13,0.9828897338403042,0.07935695361790268,32,5e-05,"[16, 32, 64]",[100],0.25
CLD,14,0.8850931677018633,0.4567061963738568,32,5e-05,"[16, 32, 64]",[100],0.25
CLU,10,0.9433962264150944,0.1798807866141942,32,5e-05,"[16, 32, 64]",[100],0.25
CLU,11,0.9434571890145396,0.30676053892111665,32,5e-05,"[16, 32, 64]",[100],0.25
CLU,12,0.8832236842105263,0.4983397867251226,32,5e-05,"[16, 32, 64]",[100],0.25
CLU,13,0.974,0.1144141216222323,32,5e-05,"[16, 32, 64]",[100],0.25
CLU,14,0.9356913183279743,0.26743350918031866,32,5e-05,"[16, 32, 64]",[100],0.25
WAL,10,0.9428104575163399,0.1913525536096131,32,5e-05,"[16, 32, 64]",[100],0.5
WAL,11,0.955249569707401,0.20836379818294853,32,5e-05,"[16, 32, 64]",[100],0.5
