source,domain,accuracy,loss,batch_size,learning_rate,conv_channels,hidden_sizes,dropout_prob
WAL,10,0.9575163398692811,0.13799982097698377,32,5e-05,"[16, 32, 64]",[],0.25
WAL,11,0.9363166953528399,0.2635294231544034,32,5e-05,"[16, 32, 64]",[],0.25
WAL,12,0.949740034662045,0.15158311855635762,32,5e-05,"[16, 32, 64]",[],0.25
WAL,13,0.9655172413793104,0.0722194150870564,32,5e-05,"[16, 32, 64]",[],0.25
WAL,14,0.955249569707401,0.10676996776486417,32,5e-05,"[16, 32, 64]",[],0.25
RUN,10,0.861198738170347,0.4105827633291483,32,5e-05,"[16, 32, 64]",[],0.25
RUN,11,0.8108108108108109,0.6421687882271057,32,5e-05,"[16, 32, 64]",[],0.25
RUN,12,0.837248322147651,0.5615904347873047,32,5e-05,"[16, 32, 64]",[],0.25
RUN,13,0.9738372093023255,0.10170404900881377,32,5e-05,"[16, 32, 64]",[],0.25
RUN,14,0.6768488745980707,1.077593791577965,32,5e-05,"[16, 32, 64]",[],0.25
CLD,10,0.9294117647058824,0.19220711108805102,32,5e-05,"[16, 32, 64]",[],0.25
CLD,11,0.9251170046801872,0.29521534141566097,32,5e-05,"[16, 32, 64]",[],0.25
CLD,12,0.9201807228915663,0.2819188583522364,32,5e-05,"[16, 32, 64]",[],0.25
CLD,13,0.9809885931558935,0.19672816305512028,32,5e-05,"[16, 32, 64]",[],0.25
CLD,14,0.9161490683229814,0.28175657967031364,32,5e-05,"[16, 32, 64]",[],0.25
CLU,10,0.9056603773584906,0.2459824588149786,32,5e-05,"[16, 32, 64]",[],0.25
CLU,11,0.9579967689822294,0.1743106458823604,32,5e-05,"[16, 32, 64]",[],0.25
CLU,12,0.9144736842105263,0.32343277743769394,32,5e-05,"[16, 32, 64]",[],0.25
CLU,13,0.974,0.19749640118448042,32,5e-05,"[16, 32, 64]",[],0.25
CLU,14,0.9260450160771704,0.18935293790491414,32,5e-05,"[16, 32, 64]",[],0.25
WAL,10,0.923202614379085,0.22298990291310475,32,5e-05,"[16, 32, 64]",[32],0.25
WAL,11,0.9586919104991394,0.16141052031544909,32,5e-05,"[16, 32, 64]",[32],0.25
WAL,12,0.9358752166377816,0.20568416658999777,32,5e-05,"[16, 32, 64]",[32],0.25
WAL,13,0.9467084639498433,0.22949275055470936,32,5e-05,"[16, 32, 64]",[32],0.25
WAL,14,0.9466437177280551,0.14018856407614963,32,5e-05,"[16, 32, 64]",[32],0.25
RUN,10,0.8296529968454258,0.552690496109426,32,5e-05,"[16, 32, 64]",[32],0.25
RUN,11,0.785472972972973,0.8492307410771517,32,5e-05,"[16, 32, 64]",[32],0.25
RUN,12,0.8489932885906041,0.5468917118973637,32,5e-05,"[16, 32, 64]",[32],0.25
RUN,13,0.9709302325581395,0.09146225064019249,32,5e-05,"[16, 32, 64]",[32],0.25
RUN,14,0.6961414790996785,1.1580015528714285,32,5e-05,"[16, 32, 64]",[32],0.25
CLD,10,0.9147058823529411,0.2698907709342496,32,5e-05,"[16, 32, 64]",[32],0.25
CLD,11,0.8876755070202809,0.3831591642274794,32,5e-05,"[16, 32, 64]",[32],0.25
CLD,12,0.9262048192771084,0.27807221732135595,32,5e-05,"[16, 32, 64]",[32],0.25
CLD,13,0.9961977186311787,0.11351343264547775,32,5e-05,"[16, 32, 64]",[32],0.25
CLD,14,0.906832298136646,0.3665370531418289,32,5e-05,"[16, 32, 64]",[32],0.25
CLU,10,0.8757861635220126,0.3224168315209681,32,5e-05,"[16, 32, 64]",[32],0.25
CLU,11,0.9531502423263328,0.2285101084782582,32,5e-05,"[16, 32, 64]",[32],0.25
CLU,12,0.9325657894736842,0.2411577294995751,32,5e-05,"[16, 32, 64]",[32],0.25
CLU,13,0.872,0.4113997103999054,32,5e-05,"[16, 32, 64]",[32],0.25
CLU,14,0.9517684887459807,0.19426631116930365,32,5e-05,"[16, 32, 64]",[32],0.25
WAL,10,0.9526143790849673,0.1793328780855518,32,5e-05,"[16, 32, 64]",[64],0.25
WAL,11,0.955249569707401,0.15358331697774175,32,5e-05,"[16, 32, 64]",[64],0.25
WAL,12,0.9480069324090121,0.1643131559628608,32,5e-05,"[16, 32, 64]",[64],0.25
WAL,13,1.0,0.008962634908766632,32,5e-05,"[16, 32, 64]",[64],0.25
WAL,14,0.9466437177280551,0.14653739609696603,32,5e-05,"[16, 32, 64]",[64],0.25
RUN,10,0.8596214511041009,0.4622022987343371,32,5e-05,"[16, 32, 64]",[64],0.25
RUN,11,0.768581081081081,0.7696689492165062,32,5e-05,"[16, 32, 64]",[64],0.25
RUN,12,0.837248322147651,0.6607707496609931,32,5e-05,"[16, 32, 64]",[64],0.25
RUN,13,0.9680232558139535,0.09993235385892066,32,5e-05,"[16, 32, 64]",[64],0.25
RUN,14,0.7620578778135049,1.0843902752385475,32,5e-05,"[16, 32, 64]",[64],0.25
CLD,10,0.9294117647058824,0.18991899671064774,32,5e-05,"[16, 32, 64]",[64],0.25
CLD,11,0.8611544461778471,0.461029523285972,32,5e-05,"[16, 32, 64]",[64],0.25
CLD,12,0.9337349397590361,0.23418747467699827,32,5e-05,"[16, 32, 64]",[64],0.25
CLD,13,0.9771863117870723,0.16890516666856403,32,5e-05,"[16, 32, 64]",[64],0.25
CLD,14,0.8866459627329193,0.42869817341142197,32,5e-05,"[16, 32, 64]",[64],0.25
CLU,10,0.9119496855345912,0.2740892022615299,32,5e-05,"[16, 32, 64]",[64],0.25
CLU,11,0.9515347334410339,0.24417472932104828,32,5e-05,"[16, 32, 64]",[64],0.25
CLU,12,0.930921052631579,0.27870070549813947,32,5e-05,"[16, 32, 64]",[64],0.25
CLU,13,0.982,0.06712117624857683,32,5e-05,"[16, 32, 64]",[64],0.25
CLU,14,0.9501607717041801,0.20307430597342774,32,5e-05,"[16, 32, 64]",[64],0.25
WAL,10,0.9084967320261438,0.31318620740203185,32,5e-05,"[16, 32, 64]",[128],0.25
WAL,11,0.9397590361445783,0.2913123415158847,32,5e-05,"[16, 32, 64]",[128],0.25
WAL,12,0.951473136915078,0.16454891799597995,32,5e-05,"[16, 32, 64]",[128],0.25
WAL,13,0.9749216300940439,0.050875498737332235,32,5e-05,"[16, 32, 64]",[128],0.25
WAL,14,0.9414802065404475,0.2021967516997584,32,5e-05,"[16, 32, 64]",[128],0.25
RUN,10,0.8517350157728707,0.5679074799176306,32,5e-05,"[16, 32, 64]",[128],0.25
RUN,11,0.7753378378378378,0.7702057709500781,32,5e-05,"[16, 32, 64]",[128],0.25
RUN,12,0.8473154362416108,0.5950055480076882,32,5e-05,"[16, 32, 64]",[128],0.25
RUN,13,0.9651162790697675,0.14689297779378566,32,5e-05,"[16, 32, 64]",[128],0.25
RUN,14,0.680064308681672,1.6705427442211658,32,5e-05,"[16, 32, 64]",[128],0.25
CLD,10,0.9455882352941176,0.1782732973980191,32,5e-05,"[16, 32, 64]",[128],0.25
CLD,11,0.906396255850234,0.39662134352008815,32,5e-05,"[16, 32, 64]",[128],0.25
CLD,12,0.9367469879518072,0.2226179267604277,32,5e-05,"[16, 32, 64]",[128],0.25
CLD,13,0.9714828897338403,0.15857258020562714,32,5e-05,"[16, 32, 64]",[128],0.25
CLD,14,0.9161490683229814,0.3981296152825009,32,5e-05,"[16, 32, 64]",[128],0.25
CLU,10,0.9371069182389937,0.18938519539951812,32,5e-05,"[16, 32, 64]",[128],0.25
CLU,11,0.9402261712439418,0.33197073487074247,32,5e-05,"[16, 32, 64]",[128],0.25
CLU,12,0.9095394736842105,0.38709884777000825,32,5e-05,"[16, 32, 64]",[128],0.25
CLU,13,0.956,0.19782839498532212,32,5e-05,"[16, 32, 64]",[128],0.25
CLU,14,0.9453376205787781,0.23425234176253867,32,5e-05,"[16, 32, 64]",[128],0.25
WAL,10,0.934640522875817,0.2209964656896773,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
WAL,11,0.9569707401032702,0.18766989267217132,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
WAL,12,0.9549393414211439,0.15316154606640148,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
WAL,13,0.9717868338557993,0.10732575870513869,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
WAL,14,0.9397590361445783,0.22034180514818122,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
RUN,10,0.8769716088328076,0.4983468998223543,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
RUN,11,0.7905405405405406,0.8066661170634785,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
RUN,12,0.8322147651006712,0.6578077742290732,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
RUN,13,0.9622093023255814,0.17045033945363353,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
RUN,14,0.7331189710610932,0.8806190334726125,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLD,10,0.9161764705882353,0.29107999221684044,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLD,11,0.8502340093603744,0.5610214787120423,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLD,12,0.9397590361445783,0.2592506861408202,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLD,13,0.8840304182509505,0.3459423756588983,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLD,14,0.8990683229813664,0.3844350552753678,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLU,10,0.9119496855345912,0.25892543414083774,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLU,11,0.9499192245557351,0.15712344781277351,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLU,12,0.9292763157894737,0.2747370564780723,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
