source,domain,accuracy,loss,batch_size,learning_rate,conv_channels,hidden_sizes,dropout_prob
WAL,10,0.9526143790849673,0.1408590159844607,32,1e-05,"[16, 32, 64, 128]",[100],0.25
WAL,11,0.9535283993115319,0.1581521482569913,32,1e-05,"[16, 32, 64, 128]",[100],0.25
WAL,12,0.9324090121317158,0.1697155872212821,32,1e-05,"[16, 32, 64, 128]",[100],0.25
WAL,13,0.9467084639498433,0.13513121598080033,32,1e-05,"[16, 32, 64, 128]",[100],0.25
WAL,14,0.9586919104991394,0.1275380571176739,32,1e-05,"[16, 32, 64, 128]",[100],0.25
RUN,10,0.8391167192429022,0.4818830665200949,32,1e-05,"[16, 32, 64, 128]",[100],0.25
RUN,11,0.8783783783783784,0.41688668355345726,32,1e-05,"[16, 32, 64, 128]",[100],0.25
RUN,12,0.837248322147651,0.5275129564106464,32,1e-05,"[16, 32, 64, 128]",[100],0.25
RUN,13,0.9563953488372093,0.13199223882772707,32,1e-05,"[16, 32, 64, 128]",[100],0.25
RUN,14,0.6816720257234726,0.7196536079049111,32,1e-05,"[16, 32, 64, 128]",[100],0.25
CLD,10,0.9220588235294118,0.21830541490238498,32,1e-05,"[16, 32, 64, 128]",[100],0.25
CLD,11,0.906396255850234,0.2958448310188639,32,1e-05,"[16, 32, 64, 128]",[100],0.25
CLD,12,0.8945783132530121,0.31505592710371794,32,1e-05,"[16, 32, 64, 128]",[100],0.25
CLD,13,0.8460076045627376,0.4757843930548167,32,1e-05,"[16, 32, 64, 128]",[100],0.25
CLD,14,0.9332298136645962,0.23100888924091123,32,1e-05,"[16, 32, 64, 128]",[100],0.25
CLU,10,0.8663522012578616,0.3211110979318619,32,1e-05,"[16, 32, 64, 128]",[100],0.25
CLU,11,0.9466882067851373,0.20570188844576479,32,1e-05,"[16, 32, 64, 128]",[100],0.25
CLU,12,0.9029605263157895,0.2598581597711401,32,1e-05,"[16, 32, 64, 128]",[100],0.25
CLU,13,0.726,0.6364138780199937,32,1e-05,"[16, 32, 64, 128]",[100],0.25
CLU,14,0.9244372990353698,0.22048141590494197,32,1e-05,"[16, 32, 64, 128]",[100],0.25
WAL,10,0.9689542483660131,0.12436355209210888,32,5e-05,"[16, 32, 64, 128]",[100],0.25
WAL,11,0.9483648881239243,0.21362328756669358,32,5e-05,"[16, 32, 64, 128]",[100],0.25
WAL,12,0.9462738301559792,0.24169236106631856,32,5e-05,"[16, 32, 64, 128]",[100],0.25
WAL,13,0.9404388714733543,0.24806599206895044,32,5e-05,"[16, 32, 64, 128]",[100],0.25
WAL,14,0.9535283993115319,0.18879015994638107,32,5e-05,"[16, 32, 64, 128]",[100],0.25
RUN,10,0.886435331230284,0.4902860496658832,32,5e-05,"[16, 32, 64, 128]",[100],0.25
RUN,11,0.8158783783783784,0.8508123730015972,32,5e-05,"[16, 32, 64, 128]",[100],0.25
