source,domain,mode,accuracy,loss
IR,4,lat,0.28609341825902335,6.559738518828053
IR,4,ref,0.36942675159235666,8.030331639415127
IR,4,joint,0.29723991507430997,6.966014776189448
IR,5,lat,0.23660477453580903,5.530025296292062
IR,5,ref,0.3013262599469496,7.00980498225002
IR,5,joint,0.22546419098143236,6.075778739937281
IR,6,lat,0.23333333333333334,5.998577125867208
IR,6,ref,0.28465608465608466,6.971833511193593
IR,6,joint,0.24126984126984127,6.516970825195313
IR,7,lat,0.20636604774535808,7.300153075638464
IR,7,ref,0.27427055702917774,8.257291521056224
IR,7,joint,0.23554376657824933,7.889191393124855
Ball,4,lat,0.26047745358090185,9.607623823618484
Ball,4,ref,0.20159151193633953,10.31766520516347
Ball,4,joint,0.24880636604774536,9.714400259114928
Ball,5,lat,0.2361995753715499,7.165895377175283
Ball,5,ref,0.21390658174097665,7.956533569400594
Ball,5,joint,0.2197452229299363,7.812954692517296
Ball,6,lat,0.2748940677966102,8.912346161017984
Ball,6,ref,0.22510593220338984,10.343798784886376
Ball,6,joint,0.2727754237288136,9.549360521769119
Ball,7,lat,0.3232484076433121,9.505387572918908
Ball,7,ref,0.31634819532908703,10.126343870567062
Ball,7,joint,0.3365180467091295,9.924219592142913
OR_centred,4,lat,0.4508762612851832,4.218528980547089
OR_centred,4,ref,0.2899628252788104,4.85996206180524
OR_centred,4,joint,0.42166755177907594,4.165712702072273
OR_centred,5,lat,0.35422198619224643,5.0348667894624235
OR_centred,5,ref,0.2384492830589485,5.1320345927092985
OR_centred,5,joint,0.3266064790228359,4.778242113226551
OR_centred,6,lat,0.3527542372881356,5.20848077137844
OR_centred,6,ref,0.2643008474576271,5.092913286160615
OR_centred,6,joint,0.3008474576271186,5.241047702982264
OR_centred,7,lat,0.37188328912466845,5.228632990527362
OR_centred,7,ref,0.2949602122015915,5.340271457272061
OR_centred,7,joint,0.36657824933687,5.1975015629146055
OR_orthogonal,4,lat,0.3722163308589608,5.585032635826176
OR_orthogonal,4,ref,0.3637327677624602,7.575594533297975
OR_orthogonal,4,joint,0.3504772004241782,6.358743376651053
OR_orthogonal,5,lat,0.3940520446096654,5.368181057905747
OR_orthogonal,5,ref,0.3505045140732873,7.196813291159727
OR_orthogonal,5,joint,0.330323951141795,6.440641691118984
OR_orthogonal,6,lat,0.2658898305084746,6.898148441718797
OR_orthogonal,6,ref,0.3172669491525424,9.587968519178487
OR_orthogonal,6,joint,0.2775423728813559,8.141238190359989
OR_orthogonal,7,lat,0.19957537154989385,7.546860423128484
OR_orthogonal,7,ref,0.25583864118895966,9.83428577851441
OR_orthogonal,7,joint,0.20063694267515925,8.514293699951494
OR_opposite,4,lat,0.33351007423117707,5.195384409111161
OR_opposite,4,ref,0.3404029692470838,5.222652592031794
OR_opposite,4,joint,0.33775185577942735,5.572299166348954
OR_opposite,5,lat,0.3147262094630516,5.162734945670093
OR_opposite,5,ref,0.32748538011695905,5.041914704171408
OR_opposite,5,joint,0.2987772461456672,5.404857168820592
OR_opposite,6,lat,0.34146341463414637,5.28728867002163
OR_opposite,6,ref,0.3605514316012725,5.287876067548927
OR_opposite,6,joint,0.3372216330858961,5.585343153060067
OR_opposite,7,lat,0.36267232237539765,4.629196045924199
OR_opposite,7,ref,0.40137857900318136,4.571255983997894
OR_opposite,7,joint,0.39395546129374337,4.801662445098943
