source,domain,mode,accuracy,loss
IR,4,real,1.0,0.001609615035109376
IR,5,real,0.9973474801061007,0.008584869764915007
IR,6,real,0.9973544973544973,0.008946140118951009
IR,7,real,0.99946949602122,0.0028838980386960127
Ball,4,real,1.0,0.0007771819768777277
Ball,5,real,0.99946949602122,0.004791693704525339
Ball,6,real,0.9989417989417989,0.004710166480557139
Ball,7,real,1.0,0.0017786861937869013
OR_centred,4,real,1.0,0.0006385596362477486
OR_centred,5,real,0.998937581127603,0.005249507686130528
OR_centred,6,real,0.9994708994708994,0.0028560530382037543
OR_centred,7,real,1.0,0.0007009903056617379
OR_orthogonal,4,real,1.0,0.000648834808725951
OR_orthogonal,5,real,0.9978765731700434,0.012305514797056579
OR_orthogonal,6,real,0.9989389920424404,0.008746952283854626
OR_orthogonal,7,real,0.99946949602122,0.0025152830120229435
OR_opposite,4,real,1.0,0.0013402057328069836
OR_opposite,5,real,1.0,0.001716289246693729
OR_opposite,6,real,1.0,0.0004493630255334816
OR_opposite,7,real,1.0,0.0007695513691942325
