source,domain,mode,accuracy,loss
IR,4,real,0.37420382165605093,3.4953743007223483
IR,5,real,0.4222811671087533,2.9381939679763076
IR,6,real,0.4132275132275132,2.345981201529503
IR,7,real,0.4026525198938992,2.837422242609121
Ball,4,real,0.3310344827586207,4.188253117819964
Ball,5,real,0.30148619957537154,4.199503404104103
Ball,6,real,0.329978813559322,4.937292422278452
Ball,7,real,0.34341825902335454,5.331246592230716
OR_centred,4,real,0.10621348911311737,6.975181486647008
OR_centred,5,real,0.33882103027084437,4.531885683852232
OR_centred,6,real,0.3453389830508475,4.830677082477989
OR_centred,7,real,0.3145888594164456,5.477010643078109
OR_orthogonal,4,real,0.5864262990455992,1.7095836138952587
OR_orthogonal,5,real,0.5793945831120553,2.5021245406340746
OR_orthogonal,6,real,0.5227754237288136,2.5137343042987887
OR_orthogonal,7,real,0.4596602972399151,2.7631188125933632
OR_opposite,4,real,0.42152704135737007,3.7655195950703613
OR_opposite,5,real,0.4178628389154705,4.133057674407117
OR_opposite,6,real,0.440084835630965,4.241832954346862
OR_opposite,7,real,0.45493107104984093,4.350727119166365
