source,domain,mode,accuracy,loss
IR,4,lat,0.3996815286624204,4.625569147326178
IR,4,ref,0.440552016985138,4.887049536710069
IR,4,joint,0.529723991507431,4.065067714932612
IR,5,lat,0.48381962864721484,4.145808893745229
IR,5,ref,0.5156498673740053,4.451029390349227
IR,5,joint,0.5962864721485411,3.866437857686463
IR,6,lat,0.5142857142857142,3.546551953504483
IR,6,ref,0.582010582010582,3.4944101829081773
IR,6,joint,0.6619047619047619,3.011000984534621
IR,7,lat,0.516710875331565,3.184995458792832
IR,7,ref,0.5946949602122016,3.1723637176772295
IR,7,joint,0.6790450928381963,2.8030144573520808
Ball,4,lat,0.27320954907161804,5.618671594282328
Ball,4,ref,0.2986737400530504,8.534522550314728
Ball,4,joint,0.4689655172413793,6.371772302156788
Ball,5,lat,0.3062632696390658,4.623252599421194
Ball,5,ref,0.29883227176220806,6.494325242747189
Ball,5,joint,0.4437367303609342,4.165768795599372
Ball,6,lat,0.4041313559322034,8.340129243352024
Ball,6,ref,0.2955508474576271,9.241996872665013
Ball,6,joint,0.2653601694915254,7.985300670740968
Ball,7,lat,0.3821656050955414,7.400652963257695
Ball,7,ref,0.2515923566878981,6.164489411701591
Ball,7,joint,0.3625265392781316,6.621369468206066
OR_centred,4,lat,0.556558682952735,2.3047052203851233
OR_centred,4,ref,0.562931492299522,2.268489121885623
OR_centred,4,joint,0.6123207647371216,2.1648882712174395
OR_centred,5,lat,0.6096654275092936,1.1777220052682746
OR_centred,5,ref,0.6813595326606479,1.0494626078565241
OR_centred,5,joint,0.7604885820499203,0.887465053885165
OR_centred,6,lat,0.5534957627118644,1.2064695595684698
OR_centred,6,ref,0.6483050847457628,0.9576171453473932
OR_centred,6,joint,0.7817796610169492,0.7110949194658611
OR_centred,7,lat,0.4954907161803713,1.5654767100083626
OR_centred,7,ref,0.5893899204244032,1.2934836078498324
OR_centred,7,joint,0.7151193633952254,1.164766086549577
OR_orthogonal,4,lat,0.6288441145281018,2.529506767326492
OR_orthogonal,4,ref,0.6474019088016967,2.6248714739251566
OR_orthogonal,4,joint,0.6474019088016967,2.8384003055230633
OR_orthogonal,5,lat,0.5395645246946362,2.211231608512038
OR_orthogonal,5,ref,0.6213489113117366,2.1202227258581225
OR_orthogonal,5,joint,0.6399362719065321,2.242718961026709
OR_orthogonal,6,lat,0.4957627118644068,1.9625795988713282
OR_orthogonal,6,ref,0.6244703389830508,1.6514608623870348
OR_orthogonal,6,joint,0.6901483050847458,1.632225251803964
OR_orthogonal,7,lat,0.4729299363057325,2.2282210482379137
OR_orthogonal,7,ref,0.535031847133758,2.0320157443441578
OR_orthogonal,7,joint,0.582271762208068,1.8422979140275364
OR_opposite,4,lat,0.11452810180275716,3.320441386457217
OR_opposite,4,ref,0.17179215270413573,3.7497323104890725
OR_opposite,4,joint,0.18292682926829268,3.474923340950982
OR_opposite,5,lat,0.3668261562998405,2.8159284094127557
OR_opposite,5,ref,0.22966507177033493,2.6925612786563775
OR_opposite,5,joint,0.3742690058479532,2.037028718297764
OR_opposite,6,lat,0.42576882290562035,3.274148160118168
OR_opposite,6,ref,0.2391304347826087,2.881847474534633
OR_opposite,6,joint,0.4024390243902439,2.312644387200727
OR_opposite,7,lat,0.39183457051961823,3.7849536850038223
OR_opposite,7,ref,0.19936373276776245,3.0931626659328653
OR_opposite,7,joint,0.3653234358430541,3.0202418805684075
