source,domain,mode,accuracy,loss
IR,4,lat,0.458067940552017,4.0704474181402475
IR,4,ref,0.40870488322717624,2.7135839017771057
IR,4,joint,0.3609341825902335,7.870594833567107
IR,5,lat,0.4461538461538462,3.1465741244413086
IR,5,ref,0.39098143236074273,4.251325650740478
IR,5,joint,0.3713527851458886,4.898730650291604
IR,6,lat,0.4417989417989418,5.247199669480324
IR,6,ref,0.3931216931216931,6.325870577245951
IR,6,joint,0.24232804232804234,6.934920936822891
IR,7,lat,0.20318302387267906,8.498743551262354
IR,7,ref,0.2557029177718833,8.08345380772726
IR,7,joint,0.2880636604774536,9.16065726542877
Ball,4,lat,0.4742705570291777,2.2521734954947132
Ball,4,ref,0.2891246684350133,7.981190705703477
Ball,4,joint,0.3952254641909814,3.44662503064689
Ball,5,lat,0.4564755838641189,2.649857942583197
Ball,5,ref,0.38057324840764334,3.263889454936577
Ball,5,joint,0.2914012738853503,4.072067895178067
Ball,6,lat,0.3411016949152542,3.893426421335188
Ball,6,ref,0.3432203389830508,4.788582520969843
Ball,6,joint,0.305614406779661,6.373630992436813
Ball,7,lat,0.3359872611464968,5.87972289222782
Ball,7,ref,0.386411889596603,4.301085775181399
Ball,7,joint,0.3200636942675159,6.631034672260284
OR_centred,4,lat,0.4152947424322889,4.918772661490208
OR_centred,4,ref,0.37599575146043546,3.8035941712431987
OR_centred,4,joint,0.6096654275092936,4.090706251182799
OR_centred,5,lat,0.5979819437068508,1.5663442881935734
OR_centred,5,ref,0.4152947424322889,2.8472791288868855
OR_centred,5,joint,0.5108868826340945,3.4283442546187315
OR_centred,6,lat,0.5143008474576272,4.518257495031644
OR_centred,6,ref,0.3516949152542373,4.178233085042339
OR_centred,6,joint,0.2505296610169492,4.644495097257323
OR_centred,7,lat,0.2440318302387268,4.32767276238587
OR_centred,7,ref,0.22387267904509284,4.898418347714311
OR_centred,7,joint,0.2244031830238727,7.573173257253938
OR_orthogonal,4,lat,0.4782608695652174,3.6677035710821717
OR_orthogonal,4,ref,0.4485683987274655,6.56314858023898
OR_orthogonal,4,joint,0.27518557794273596,5.456625652010158
OR_orthogonal,5,lat,0.3706850770047796,6.392685896259243
OR_orthogonal,5,ref,0.4514073287307488,4.682364149618957
OR_orthogonal,5,joint,0.34944237918215615,5.5122853739786954
OR_orthogonal,6,lat,0.3956567796610169,5.34239607847343
OR_orthogonal,6,ref,0.3739406779661017,5.676566137095629
OR_orthogonal,6,joint,0.3151483050847458,7.8258116245269775
OR_orthogonal,7,lat,0.3991507430997877,6.614448377894143
OR_orthogonal,7,ref,0.30254777070063693,8.516506295082932
OR_orthogonal,7,joint,0.43471337579617836,6.827952692877123
OR_opposite,4,lat,0.44538706256627786,2.892858697168499
OR_opposite,4,ref,0.43478260869565216,4.745628262282017
OR_opposite,4,joint,0.4337221633085896,4.133365417273619
OR_opposite,5,lat,0.46943115364168,4.3040543946864105
OR_opposite,5,ref,0.4008506113769272,2.9212270579431543
OR_opposite,5,joint,0.5263157894736842,2.9584763976465944
OR_opposite,6,lat,0.4427359490986214,4.18915683922498
OR_opposite,6,ref,0.48038176033934255,2.2115774275143076
OR_opposite,6,joint,0.4883351007423118,4.099169961728487
OR_opposite,7,lat,0.40402969247083775,3.6350635945124496
OR_opposite,7,ref,0.45121951219512196,3.6846167676370802
OR_opposite,7,joint,0.45705196182396607,4.484033183476097
