source,domain,mode,accuracy,loss
WAL,10,real,0.9493464052287581,0.12707940049959013
WAL,11,real,0.963855421686747,0.1610887947117866
WAL,12,real,0.9566724436741768,0.14426186081477774
WAL,13,real,0.9749216300940439,0.058236320243713634
WAL,14,real,0.9724612736660929,0.10933812633922227
RUN,10,real,0.7160883280757098,1.1356076477648458
RUN,11,real,0.8733108108108109,0.529648606807412
RUN,12,real,0.7046979865771812,1.1004127754690431
RUN,13,real,0.7558139534883721,0.8014283211427266
RUN,14,real,0.7684887459807074,0.6858107826419888
CLD,10,real,0.8558823529411764,0.5682948032423555
CLD,11,real,0.858034321372855,0.4348386383930637
CLD,12,real,0.8975903614457831,0.4680270547136702
CLD,13,real,0.811787072243346,0.5778882430568736
CLD,14,real,0.8664596273291926,0.419902839902018
CLU,10,real,0.8710691823899371,0.4312324262421498
CLU,11,real,0.9612277867528272,0.3284110752147757
CLU,12,real,0.9111842105263158,0.3417784568390877
CLU,13,real,0.992,0.02917773512827182
CLU,14,real,0.617363344051447,1.7269235192950447
