source,domain,mode,accuracy,loss
WAL,10,real,0.9934826069572171,0.018245722955907696
WAL,11,real,0.9862363689949897,0.03396314309738955
WAL,12,real,0.9861319340329835,0.03469053636349599
WAL,13,real,0.9936507936507937,0.024788100505247712
WAL,14,real,0.9845417035072208,0.04597830237071321
RUN,10,real,0.9448068991376077,0.1457506030332297
RUN,11,real,0.92746047571571,0.22611098420456982
RUN,12,real,0.9446218487394958,0.18131959861493668
RUN,13,real,0.9941176470588236,0.02691494580358267
RUN,14,real,0.9549806451612903,0.13279148766596335
CLD,10,real,0.9676470588235293,0.0857634889902935
CLD,11,real,0.9594355620155038,0.13425361477869352
CLD,12,real,0.9623490544543175,0.0857689454754614
CLD,13,real,1.0,0.0041804747096778425
CLD,14,real,0.97046996124031,0.09467413047200858
CLU,10,real,0.9842642716535434,0.025902333912472385
CLU,11,real,0.969315499606609,0.07067484917533876
CLU,12,real,0.9769678905297386,0.07237989363284214
CLU,13,real,0.998,0.003365342947654426
CLU,14,real,0.9823225806451612,0.06118026184685732
