source,domain,mode,accuracy,loss
WAL,10,real,0.9820261437908496,0.06576917008156667
WAL,11,real,0.9827882960413081,0.051700270783726215
WAL,12,real,0.9601386481802426,0.1424870305970221
WAL,13,real,1.0,0.004550859881291558
WAL,14,real,0.9655765920826161,0.11893737298558542
RUN,10,real,0.831230283911672,0.5937894336879254
RUN,11,real,0.9037162162162162,0.3863452882220131
RUN,12,real,0.8271812080536913,0.9034655049265559
RUN,13,real,0.9883720930232558,0.030688958801461427
RUN,14,real,0.887459807073955,0.4502966027029031
CLD,10,real,0.8970588235294118,0.32516106385142174
CLD,11,real,0.8767550702028081,0.41020556776334405
CLD,12,real,0.9156626506024096,0.34711220737994414
CLD,13,real,0.9809885931558935,0.0431852469409941
CLD,14,real,0.9161490683229814,0.292849038527354
CLU,10,real,0.9355345911949685,0.3090842896749407
CLU,11,real,0.9030694668820679,0.3245803920294936
CLU,12,real,0.9424342105263158,0.25397230754855993
CLU,13,real,0.998,0.004857356046974459
CLU,14,real,0.9678456591639871,0.19467710586230952
