source,domain,mode,accuracy,loss
WAL,10,real,0.9852941176470589,0.05013301417583977
WAL,11,real,0.9741824440619621,0.13922529386892613
WAL,12,real,0.9705372616984402,0.08849102516557318
WAL,13,real,0.9937304075235109,0.011036239141533599
WAL,14,real,0.9724612736660929,0.12171840358894469
RUN,10,real,0.7712933753943217,0.8139878406538628
RUN,11,real,0.8800675675675675,0.4180577504582313
RUN,12,real,0.8338926174496645,0.6203032213617055
RUN,13,real,0.8255813953488372,0.5109188810471427
RUN,14,real,0.8440514469453376,0.48707602747368256
CLD,10,real,0.8691176470588236,0.4789814673762869
CLD,11,real,0.9500780031201248,0.21235465502961576
CLD,12,real,0.9307228915662651,0.289884056456125
CLD,13,real,0.9771863117870723,0.06334455341306183
CLD,14,real,0.9114906832298136,0.26766640381698026
CLU,10,real,0.9386792452830188,0.22852769092614836
CLU,11,real,0.9644588045234249,0.1799948614845082
CLU,12,real,0.9177631578947368,0.35754967366923884
CLU,13,real,0.998,0.006265206124137251
CLU,14,real,0.954983922829582,0.15703776760753896
