source,domain,mode,accuracy,loss
WAL,10,lat,0.9803921568627451,0.07256253561416041
WAL,10,ref,0.9820261437908496,0.0595350483121225
WAL,10,joint,0.9836601307189542,0.04834671303443919
WAL,11,lat,0.9827882960413081,0.04770429295165189
WAL,11,ref,0.9793459552495697,0.07085220975562828
WAL,11,joint,0.9896729776247849,0.031208638697256368
WAL,12,lat,0.9393414211438474,0.28381828868505427
WAL,12,ref,0.951473136915078,0.17503659997758553
WAL,12,joint,0.9549393414211439,0.16417136937053403
WAL,13,lat,0.9686520376175548,0.11573802023277154
WAL,13,ref,0.9811912225705329,0.047326547028712265
WAL,13,joint,0.9780564263322884,0.052448196965036685
WAL,14,lat,0.919104991394148,0.33934617908179393
WAL,14,ref,0.9432013769363167,0.24319570817723823
WAL,14,joint,0.9776247848537005,0.0778438878241768
RUN,10,lat,0.8643533123028391,0.5128470910116448
RUN,10,ref,0.862776025236593,0.513875894289231
RUN,10,joint,0.8406940063091483,0.5056811727023159
RUN,11,lat,0.9273648648648649,0.4861290726263067
RUN,11,ref,0.893581081081081,0.5108869039088035
RUN,11,joint,0.910472972972973,0.5108113585487494
RUN,12,lat,0.7869127516778524,0.8217097216864108
RUN,12,ref,0.8708053691275168,0.6217647913345947
RUN,12,joint,0.7701342281879194,0.8360161068454832
RUN,13,lat,0.9447674418604651,0.1498489664683637
RUN,13,ref,0.8662790697674418,0.4089234219031823
RUN,13,joint,0.9156976744186046,0.22559268381155562
RUN,14,lat,0.7684887459807074,0.7115701775018795
RUN,14,ref,0.8745980707395499,0.4021051573180534
RUN,14,joint,0.8665594855305466,0.4662130549191855
CLD,10,lat,0.9426470588235294,0.21029890365702952
CLD,10,ref,0.9411764705882353,0.188179637426285
CLD,10,joint,0.9470588235294117,0.2009187189649338
CLD,11,lat,0.9578783151326054,0.20694569835898938
CLD,11,ref,0.9547581903276131,0.16770064126948145
CLD,11,joint,0.9578783151326054,0.15520471737807795
CLD,12,lat,0.9292168674698795,0.2848911490678441
CLD,12,ref,0.9126506024096386,0.2953086301553889
CLD,12,joint,0.9292168674698795,0.3514980915788951
CLD,13,lat,0.8555133079847909,0.3930686097284541
CLD,13,ref,0.9049429657794676,0.2401964275509685
CLD,13,joint,0.8174904942965779,0.5447950681777773
CLD,14,lat,0.9316770186335404,0.22580322341069037
CLD,14,ref,0.9285714285714286,0.2770773389118025
CLD,14,joint,0.9425465838509317,0.2684032161530335
CLU,10,lat,0.8066037735849056,0.755923555600242
CLU,10,ref,0.8836477987421384,0.3400051731390704
CLU,10,joint,0.9040880503144654,0.3648857231268153
CLU,11,lat,0.9579967689822294,0.1950670600669477
CLU,11,ref,0.9612277867528272,0.2401685603084129
CLU,11,joint,0.9596122778675282,0.2797832901117201
CLU,12,lat,0.9243421052631579,0.2868126129328585
CLU,12,ref,0.9210526315789473,0.23697151270294184
CLU,12,joint,0.9243421052631579,0.30849322747579583
CLU,13,lat,0.972,0.1053747349628789
CLU,13,ref,0.982,0.03299266467314865
CLU,13,joint,0.998,0.009768141809225028
CLU,14,lat,0.7845659163987139,0.7032679703218486
CLU,14,ref,0.9228295819935691,0.2587380628471797
CLU,14,joint,0.9196141479099679,0.303986084779944
