source,domain,mode,accuracy,loss
WAL,10,real,0.40032679738562094,0.9796075438841795
WAL,11,real,0.7194492254733219,0.6607076960640985
WAL,12,real,0.5996533795493935,0.81399859447737
WAL,13,real,0.6896551724137931,0.8339833304286003
WAL,14,real,0.35972461273666095,0.9458996967689411
RUN,10,real,0.3675078864353312,1.0337817505002023
RUN,11,real,0.34290540540540543,1.0337040907627828
RUN,12,real,0.3926174496644295,1.0921955908599652
RUN,13,real,0.19767441860465115,1.20141493732279
RUN,14,real,0.364951768488746,1.049201922538953
CLD,10,real,0.4455882352941177,0.8926876429901567
CLD,11,real,0.6021840873634945,0.811429195287751
CLD,12,real,0.6189759036144579,0.8008705945242018
CLD,13,real,0.5114068441064639,0.8098935331359054
CLD,14,real,0.6459627329192547,0.8225628050362191
CLU,10,real,0.3867924528301887,1.01407281011343
CLU,11,real,0.5492730210016155,0.8993163231091622
CLU,12,real,0.4621710526315789,0.8899108955734655
CLU,13,real,0.758,0.6981376726180315
CLU,14,real,0.44694533762057875,0.9304933211742303
