source,domain,mode,accuracy,loss
WAL,10,lat,0.9166666666666666,0.3861089623816765
WAL,10,ref,0.9493464052287581,0.20914162145867848
WAL,10,joint,0.9673202614379085,0.13146394881056414
WAL,11,lat,0.9380378657487092,0.3710250455319925
WAL,11,ref,0.9500860585197934,0.18870223333487957
WAL,11,joint,0.9518072289156626,0.3086221858556373
WAL,12,lat,0.9081455805892548,0.5141307872011527
WAL,12,ref,0.951473136915078,0.13651304571440787
WAL,12,joint,0.9636048526863085,0.18029824205910158
WAL,13,lat,0.8025078369905956,0.49752789074555037
WAL,13,ref,0.9937304075235109,0.028084488809327013
WAL,13,joint,0.9592476489028213,0.09790716553734455
WAL,14,lat,0.9518072289156626,0.2466234552755211
WAL,14,ref,0.9380378657487092,0.2646322282274235
WAL,14,joint,0.9500860585197934,0.16882726848495155
RUN,10,lat,0.7350157728706624,1.7295495229078597
RUN,10,ref,0.88801261829653,0.371233058575308
RUN,10,joint,0.8517350157728707,0.5161418536445126
RUN,11,lat,0.7567567567567568,1.4920609827641969
RUN,11,ref,0.8057432432432432,0.769014074147767
RUN,11,joint,0.8547297297297297,0.6685817163939842
RUN,12,lat,0.7919463087248322,1.418935609250567
RUN,12,ref,0.8439597315436241,0.5213734127372798
RUN,12,joint,0.7986577181208053,0.8164944936947186
RUN,13,lat,0.877906976744186,0.5011386805242947
RUN,13,ref,0.9563953488372093,0.16248954312653618
RUN,13,joint,0.9593023255813954,0.14851787713930456
RUN,14,lat,0.7556270096463023,0.8130543185338283
RUN,14,ref,0.7620578778135049,1.1430030665211142
RUN,14,joint,0.6463022508038585,2.134108693406653
CLD,10,lat,0.9220588235294118,0.4197224147738293
CLD,10,ref,0.9382352941176471,0.19103244687044765
CLD,10,joint,0.9426470588235294,0.2541284904690085
CLD,11,lat,0.9126365054602185,0.5761493100292837
CLD,11,ref,0.9297971918876755,0.2658051325376685
CLD,11,joint,0.890795631825273,0.5013251179727998
CLD,12,lat,0.9186746987951807,0.4361480638660959
CLD,12,ref,0.9262048192771084,0.32362465507200494
CLD,12,joint,0.9292168674698795,0.27322398227267913
CLD,13,lat,0.8365019011406845,0.45560500539387716
CLD,13,ref,0.6825095057034221,0.4956016685023452
CLD,13,joint,0.9923954372623575,0.029596790877280222
CLD,14,lat,0.8804347826086957,0.4698422795884143
CLD,14,ref,0.9254658385093167,0.4181437098552523
CLD,14,joint,0.8959627329192547,0.6316588730377167
CLU,10,lat,0.9213836477987422,0.2910948914985056
CLU,10,ref,0.9009433962264151,0.2711809378317412
CLU,10,joint,0.9025157232704403,0.34362565312621884
CLU,11,lat,0.9337641357027464,0.4824540763573238
CLU,11,ref,0.9596122778675282,0.18067030162832545
CLU,11,joint,0.9547657512116317,0.2893795537538725
CLU,12,lat,0.9177631578947368,0.5452878736285991
CLU,12,ref,0.9243421052631579,0.3088992948771767
CLU,12,joint,0.9407894736842105,0.2598757711179324
CLU,13,lat,0.914,0.2395452423570532
CLU,13,ref,0.998,0.02352942409561365
CLU,13,joint,0.996,0.019269190412842363
CLU,14,lat,0.9469453376205788,0.27719789481129853
CLU,14,ref,0.9163987138263665,0.2801310754971382
CLU,14,joint,0.9517684887459807,0.2547591120222093
