source,domain,mode,accuracy,loss
WAL,10,lat,0.8251633986928104,0.6434172158916716
WAL,10,ref,0.9640522875816994,0.13972105368156917
WAL,10,joint,0.9101307189542484,0.276242654305138
WAL,11,lat,0.9466437177280551,0.24012566354547352
WAL,11,ref,0.9449225473321858,0.1248685436988347
WAL,11,joint,0.9173838209982789,0.2868960697694117
WAL,12,lat,0.8977469670710572,0.38941847673679053
WAL,12,ref,0.9584055459272097,0.10015855674523541
WAL,12,joint,0.9566724436741768,0.19735614987024672
WAL,13,lat,0.9717868338557993,0.10272912700274901
WAL,13,ref,0.9843260188087775,0.0359064834912715
WAL,13,joint,0.9749216300940439,0.06005043688146543
WAL,14,lat,0.9328743545611016,0.3370667427811281
WAL,14,ref,0.9569707401032702,0.13001130727698673
WAL,14,joint,0.9604130808950087,0.1270665383517799
RUN,10,lat,0.8138801261829653,0.542756829239147
RUN,10,ref,0.8249211356466877,0.5120842835043732
RUN,10,joint,0.831230283911672,0.6451299404756355
RUN,11,lat,0.8175675675675675,0.7429584546102764
RUN,11,ref,0.8530405405405406,0.6191066060768994
RUN,11,joint,0.7922297297297297,1.0709329928088884
RUN,12,lat,0.7063758389261745,1.7516921463171264
RUN,12,ref,0.7600671140939598,0.7429309790267756
RUN,12,joint,0.8439597315436241,0.7307873901813046
RUN,13,lat,0.9854651162790697,0.04681635078023563
RUN,13,ref,0.9825581395348837,0.11787528531964529
RUN,13,joint,0.3953488372093023,2.0180352645865325
RUN,14,lat,0.4758842443729904,2.954347095766981
RUN,14,ref,0.8536977491961415,0.5307166625339633
RUN,14,joint,0.7556270096463023,1.076600056159525
CLD,10,lat,0.9411764705882353,0.25744972964254653
CLD,10,ref,0.9176470588235294,0.23072322933165745
CLD,10,joint,0.9426470588235294,0.16124980831498464
CLD,11,lat,0.9313572542901716,0.347396464953396
CLD,11,ref,0.9297971918876755,0.2034133519549558
CLD,11,joint,0.921996879875195,0.3159731979775443
CLD,12,lat,0.8810240963855421,0.3883826116943965
CLD,12,ref,0.9036144578313253,0.2967215405061281
CLD,12,joint,0.8825301204819277,0.3696319205341806
CLD,13,lat,0.5494296577946768,0.577557333039515
CLD,13,ref,0.6102661596958175,0.5577825626189058
CLD,13,joint,0.9904942965779467,0.07414742688662514
CLD,14,lat,0.6785714285714286,1.3817918854290105
CLD,14,ref,0.9254658385093167,0.27181549261717364
CLD,14,joint,0.9394409937888198,0.16800694256289717
CLU,10,lat,0.75,0.7159620168618858
CLU,10,ref,0.9559748427672956,0.10969987296030012
CLU,10,joint,0.9245283018867925,0.1977304837644624
CLU,11,lat,0.9337641357027464,0.23441864854314004
CLU,11,ref,0.9466882067851373,0.22242051093085954
CLU,11,joint,0.9596122778675282,0.1532131741798719
CLU,12,lat,0.899671052631579,0.377630823530413
CLU,12,ref,0.9424342105263158,0.18128108858294772
CLU,12,joint,0.9490131578947368,0.22496387273076235
CLU,13,lat,0.948,0.195174124373807
CLU,13,ref,0.984,0.08135417386711197
CLU,13,joint,0.926,0.19720093508385617
CLU,14,lat,0.8794212218649518,0.3336073631922213
CLU,14,ref,0.9356913183279743,0.20709421361154967
CLU,14,joint,0.9260450160771704,0.30234321675454384
