source,domain,accuracy,loss
WAL,10,0.9689542483660131,0.09357119202613831
WAL,11,0.9604130808950087,0.14065034114491937
WAL,12,0.9549393414211439,0.10793801923964566
WAL,13,0.9529780564263323,0.09342194648852456
WAL,14,0.9604130808950087,0.13375520423578563
RUN,10,0.7807570977917981,0.7185315225739032
RUN,11,0.8918918918918919,0.3429036017711041
RUN,12,0.7802013422818792,0.7232291295193136
RUN,13,0.8691860465116279,0.47421743790619075
RUN,14,0.729903536977492,0.764081391505897
CLD,10,0.9,0.3117159353463318
CLD,11,0.9516380655226209,0.19350711296089107
CLD,12,0.8870481927710844,0.44213872775633883
CLD,13,0.9790874524714829,0.05632786917271441
CLD,14,0.7360248447204969,0.9204292818192037
CLU,10,0.8883647798742138,0.36937852688133715
CLU,11,0.9644588045234249,0.2048919720341388
CLU,12,0.9144736842105263,0.2738320708228116
CLU,13,0.988,0.03308152855561275
CLU,14,0.6093247588424437,1.9847143103186682
WAL,10,0.9803921568627451,0.06655440023168921
WAL,11,0.9586919104991394,0.1198318731029758
WAL,12,0.9532062391681109,0.13164897121873764
WAL,13,0.9592476489028213,0.08671031045378186
