mode,source,domain,accuracy,loss
ref,CLD,10,0.9338235294117647,0.16344295581802726
ref,CLD,11,0.9469578783151326,0.18425802376258493
ref,CLD,12,0.9036144578313253,0.3450832437837645
ref,CLD,13,0.8612167300380228,0.3906976024647722
ref,CLD,14,0.922360248447205,0.21059855765282587
ref,WAL,10,0.9836601307189542,0.06194776464253664
ref,WAL,11,0.963855421686747,0.11658870275441587
ref,WAL,12,0.9549393414211439,0.10077298587202677
ref,WAL,13,0.9592476489028213,0.08030511118558933
ref,WAL,14,0.9776247848537005,0.08656204780518237
lat,WAL,10,0.9820261437908496,0.0728491238958668
lat,WAL,11,0.9604130808950087,0.08750440278090403
lat,WAL,12,0.9306759098786829,0.24841252638682362
lat,WAL,13,0.8683385579937304,0.31610525101423265
lat,WAL,14,0.9690189328743546,0.08856883709673866
ref,RUN,10,0.7933753943217665,0.6570835369639099
ref,RUN,11,0.8952702702702703,0.4377110587432981
ref,RUN,12,0.8808724832214765,0.5457441210746765
ref,RUN,13,0.7354651162790697,0.7329069292900385
ref,RUN,14,0.8729903536977492,0.6807326930807903
lat,RUN,10,0.7870662460567823,0.7880947283832939
lat,RUN,11,0.7922297297297297,0.7947683078735054
lat,RUN,12,0.6694630872483222,1.7905430255064858
lat,RUN,13,0.9738372093023255,0.0874860675879366
lat,RUN,14,0.5144694533762058,1.9795196307823062
ref,CLD,10,0.9352941176470588,0.1623080489543182
ref,CLD,11,0.9438377535101404,0.1839419787618433
ref,CLD,12,0.9036144578313253,0.3456518835163562
ref,CLD,13,0.8612167300380228,0.3912134616196757
ref,CLD,14,0.9239130434782609,0.2120091611542524
lat,CLD,10,0.9294117647058824,0.27486414432711503
lat,CLD,11,0.9594383775351014,0.17550165917354962
lat,CLD,12,0.8689759036144579,0.641420282508162
lat,CLD,13,0.8992395437262357,0.26549813968257596
lat,CLD,14,0.765527950310559,0.8934917655992419
ref,CLU,10,0.9575471698113207,0.12404138710990083
ref,CLU,11,0.9579967689822294,0.2265744912425248
ref,CLU,12,0.9605263157894737,0.21173193546246694
ref,CLU,13,0.99,0.024954412658416913
ref,CLU,14,0.9083601286173634,0.20984622575277284
lat,CLU,10,0.9276729559748428,0.22206556536839345
lat,CLU,11,0.9515347334410339,0.20509995723259636
lat,CLU,12,0.8980263157894737,0.4740302009508012
lat,CLU,13,0.984,0.03284452711427832
lat,CLU,14,0.9581993569131833,0.2008997187091154
