source,domain,accuracy,loss
IR,4,0.46443736730360935,3.700353804108454
IR,5,0.45782493368700267,3.2972023962065578
IR,6,0.47513227513227513,2.9292027906204265
IR,7,0.4806366047745358,2.8680323107168078
Ball,4,0.35649867374005306,4.691135946909586
Ball,5,0.31263269639065816,5.158443033695221
Ball,6,0.3135593220338983,5.303260787328084
Ball,7,0.31369426751592355,5.072327826420466
OR_centred,4,0.5039830058417419,5.405612033419311
OR_centred,5,0.4200743494423792,4.860448180139064
OR_centred,6,0.4094279661016949,4.90255899031957
OR_centred,7,0.25782493368700266,5.89724280834198
OR_orthogonal,4,0.43319194061505834,4.89951463866358
OR_orthogonal,5,0.43866171003717475,3.533420762916406
OR_orthogonal,6,0.4332627118644068,3.6807212199394903
OR_orthogonal,7,0.4442675159235669,3.601530044277509
OR_opposite,4,0.4602332979851538,4.112507904568921
OR_opposite,5,0.39659755449229134,4.633209420832767
OR_opposite,6,0.39766702014846234,4.957022779061731
OR_opposite,7,0.3960763520678685,4.819904128708132
