source,domain,accuracy,loss
WAL,0,0.9839612903225806,0.04543473534286022
RUN,0,0.9327263779527559,0.1804605543613434
CLD,0,0.9542483660130718,0.15702299862168728
CLU,0,0.9728507936507936,0.07424792721867561
WAL,1,0.9766570141570142,0.05343880634754896
RUN,1,0.9414664981036662,0.1738271288573742
CLD,1,0.9587996206476086,0.09492966756224633
CLU,1,0.9803411968545916,0.06488907095044852
WAL,2,0.9868852459016393,0.03289048776496202
RUN,2,0.9537149672033394,0.08611486695396403
CLD,2,0.9788220551378446,0.035763012276341516
CLU,2,0.9694656488549619,0.11240875620084505
WAL,3,0.9922322775263952,0.04385817162692547
RUN,3,0.9942857142857143,0.04703360814601183
CLD,3,0.9952380952380953,0.03535237382166088
CLU,3,0.9904761904761905,0.05745292501524091
WAL,4,0.9948717948717949,0.025577028980478644
RUN,4,0.9672480620155038,0.0919884086586535
CLD,4,0.9773296878560037,0.06009067714524766
CLU,4,0.9857142857142858,0.039625338511541486
