source,domain,accuracy,loss
IR,4,0.47983014861995754,2.304872665802638
IR,5,0.5007957559681697,2.7936553339163464
IR,6,0.5582010582010583,2.0388861457506815
IR,7,0.5687002652519894,2.408876235038042
Ball,4,0.31352785145888595,4.151035555203756
Ball,5,0.2898089171974522,3.887266731262207
Ball,6,0.3029661016949153,3.883512381712596
Ball,7,0.3349256900212314,3.5910202006498975
OR_centred,4,0.1609134360063728,5.868458092212677
OR_centred,5,0.18799787573021773,4.375991098086039
OR_centred,6,0.2108050847457627,4.040855224927267
OR_centred,7,0.13262599469496023,4.276296997070313
OR_orthogonal,4,0.36585365853658536,3.641968924800555
OR_orthogonal,5,0.5491237387148168,2.732060223072767
OR_orthogonal,6,0.5513771186440678,2.3764413386583327
OR_orthogonal,7,0.5148619957537155,2.6270457645257315
OR_opposite,4,0.42258748674443264,3.7724046141766547
OR_opposite,5,0.42105263157894735,3.8148665070548304
OR_opposite,6,0.45227995758218453,3.4493467381515073
OR_opposite,7,0.4591728525980912,2.8027192681406934
