source,domain,accuracy,loss
IR,4,0.2521186440677966,1.3868501663208008
Ball,4,0.250663834306957,1.4517240285873414
OR_centred,4,0.2509283819628647,1.4603679478168488
OR_orthogonal,4,0.2510615711252654,1.4137096603711445
OR_opposite,4,0.2510615711252654,1.4890116771062216
IR,5,0.24907063197026022,1.4730582416057587
Ball,5,0.24986737400530504,1.4258889039357503
OR_centred,5,0.24933545986177566,1.5090346038341522
OR_orthogonal,5,0.25,1.4904774844646453
OR_opposite,5,0.24907063197026022,1.7179125169912974
IR,6,0.24960085151676423,1.4036621471246085
Ball,6,0.2507970244420829,1.4771241903305055
OR_centred,6,0.2518597236981934,1.367559955517451
OR_orthogonal,6,0.24920297555791712,1.4628405570983887
OR_opposite,6,0.24960085151676423,1.481437579790751
IR,7,0.2486744432661718,1.4641603092352549
Ball,7,0.24947145877378435,1.3900119602680205
OR_centred,7,0.24841101694915255,1.514083304007848
OR_orthogonal,7,0.48438327157226047,1.4504206418991088
OR_opposite,7,0.2482795129698253,1.527281214793523
