mode,source,domain,accuracy,loss
lat,IR,4,0.7266949152542372,0.6329857908189297
ref,IR,4,0.8797669491525424,0.3138881454244256
lat,IR,5,0.911311736590547,0.25743076981355745
ref,IR,5,0.920339883165162,0.22244309052281702
lat,IR,6,0.8914316125598722,0.2966858503719171
ref,IR,6,0.8978179882916445,0.283065892662853
lat,IR,7,0.8780487804878049,0.38016886754582324
ref,IR,7,0.88016967126193,0.410068148743206
lat,Ball,4,0.8863515666489644,0.3174028323381208
ref,Ball,4,0.7966011683483802,0.6245789537904785
lat,Ball,5,0.9809018567639257,0.07941286408652862
ref,Ball,5,0.4970822281167109,1.889110933120052
lat,Ball,6,0.8273113708820404,0.33478702856227754
ref,Ball,6,0.4261424017003188,3.090494754910469
lat,Ball,7,0.9080338266384778,0.2136270853812069
ref,Ball,7,0.4645877378435518,2.945830185028414
lat,OR_centred,4,0.35649867374005306,2.9311156809329986
ref,OR_centred,4,0.36180371352785146,4.763060196737448
lat,OR_centred,5,0.43859649122807015,2.7244596939533947
ref,OR_centred,5,0.443912812333865,5.25808817568856
lat,OR_centred,6,0.5334750265674814,1.1410291269421577
ref,OR_centred,6,0.31296493092454836,7.19475749375609
lat,OR_centred,7,0.4486228813559322,1.64597544670105
ref,OR_centred,7,0.4565677966101695,4.958937965271374
lat,OR_orthogonal,4,0.6098726114649682,1.0170934814959764
ref,OR_orthogonal,4,0.7659235668789809,0.684274745422105
lat,OR_orthogonal,5,0.8200636942675159,0.5246121793985367
ref,OR_orthogonal,5,0.4846072186836518,1.5989304254452388
lat,OR_orthogonal,6,0.793836344314559,0.6187578476965427
ref,OR_orthogonal,6,0.49415515409139216,1.954302603751421
lat,OR_orthogonal,7,0.8485971413446268,0.6186085314800341
ref,OR_orthogonal,7,0.9131815775542615,0.28652742857423924
lat,OR_opposite,4,0.8115711252653928,0.38200587713702894
ref,OR_opposite,4,0.5164543524416136,2.008045447335462
lat,OR_opposite,5,0.9277748274030801,0.1904801995260641
ref,OR_opposite,5,0.4800849707912905,2.8150793628767135
lat,OR_opposite,6,0.929217668972858,0.18370813196524977
ref,OR_opposite,6,0.5013304949441192,3.150803344300948
lat,OR_opposite,7,0.8988883006881948,0.2818215280227984
ref,OR_opposite,7,0.505558496559026,2.9373480365922053
