mode,source,domain,accuracy,loss
lat,WAL,10,0.9967897271268058,0.01232278152615356
ref,WAL,10,0.9967897271268058,0.004360328986484419
lat,WAL,11,0.992831541218638,0.021230448369247885
ref,WAL,11,0.9946236559139785,0.019285965673546457
lat,WAL,12,0.9229508196721311,0.25976958571444586
ref,WAL,12,0.9245901639344263,0.3017517555360428
lat,WAL,13,0.9922178988326849,0.03128020945150638
ref,WAL,13,0.9883268482490273,0.05026453468890395
lat,WAL,14,0.9982935153583617,0.013132325387912402
ref,WAL,14,0.9965870307167235,0.016491123272862396
lat,RUN,10,0.9514866979655712,0.15723200775682927
ref,RUN,10,0.9655712050078247,0.1298084544017911
lat,RUN,11,0.9698581560283688,0.1126258147156073
ref,RUN,11,0.9680851063829787,0.11515605648876065
lat,RUN,12,0.8674884437596302,0.4102861891415986
ref,RUN,12,0.8690292758089369,0.3671276372942058
lat,RUN,13,0.9914040114613181,0.01482497077571073
ref,RUN,13,0.997134670487106,0.015648068438167684
lat,RUN,14,0.9734789391575663,0.07827313906322657
ref,RUN,14,0.9719188767550702,0.08287884413518688
lat,CLD,10,0.9881831610044313,0.03709477238416267
ref,CLD,10,0.9896602658788775,0.02239952319675612
lat,CLD,11,0.9835255354200988,0.07487739696816786
ref,CLD,11,0.9818780889621087,0.0772717890718468
lat,CLD,12,0.779788838612368,0.6132279689023893
ref,CLD,12,0.8190045248868778,0.5080993601652815
lat,CLD,13,0.9976133651551312,0.007499142577606628
ref,CLD,13,0.9952267303102625,0.011196695811382338
lat,CLD,14,0.9819004524886877,0.07878136965194926
ref,CLD,14,0.9819004524886877,0.08113570270799254
lat,CLU,10,0.9680511182108626,0.08207275196612614
ref,CLU,10,0.9712460063897763,0.09271257448872347
lat,CLU,11,0.9885433715220949,0.04116936454068991
ref,CLU,11,0.9869067103109657,0.04031692999242296
lat,CLU,12,0.8824427480916031,0.3361156970078644
ref,CLU,12,0.8854961832061069,0.3165090940866238
lat,CLU,13,0.992822966507177,0.02469697859071727
ref,CLU,13,0.9976076555023924,0.02165617424595569
lat,CLU,14,0.9746031746031746,0.06735206547380272
ref,CLU,14,0.9809523809523809,0.04545168995922495
