mode,source,domain,accuracy,loss
ref,IR,4,0.3832271762208068,4.109565981725852
ref,IR,5,0.6137931034482759,3.20554858148098
ref,IR,6,0.7068783068783069,2.4528859224170447
ref,IR,7,0.6891246684350133,2.6798451262050853
lat,IR,4,0.47558386411889597,4.16783634920915
lat,IR,5,0.6503978779840849,3.425631786386172
lat,IR,6,0.7153439153439154,2.447969843695561
lat,IR,7,0.6944297082228117,2.298706661222968
ref,Ball,4,0.23660477453580903,8.265001699328423
ref,Ball,5,0.505307855626327,5.052215582629045
ref,Ball,6,0.381885593220339,8.577229993485767
ref,Ball,7,0.4692144373673036,8.77227132470786
lat,Ball,4,0.08116710875331565,6.986278263727824
lat,Ball,5,0.30095541401273884,4.213234158356984
lat,Ball,6,0.3109110169491525,8.742176920268685
lat,Ball,7,0.31316348195329086,10.32289898019905
ref,OR_centred,4,0.3308550185873606,3.175989618400733
ref,OR_centred,5,0.5353159851301115,1.493285071849823
ref,OR_centred,6,0.5805084745762712,1.3602150357017915
ref,OR_centred,7,0.5124668435013262,1.9360010204060625
lat,OR_centred,4,0.3032395114179501,3.814408871034781
lat,OR_centred,5,0.39723844928305896,2.0483375608921053
lat,OR_centred,6,0.604343220338983,1.4782793015241622
lat,OR_centred,7,0.5687002652519894,2.194360736862291
ref,OR_orthogonal,4,0.39660657476139977,3.6262560803443193
ref,OR_orthogonal,5,0.5496548061603823,2.4291236295054355
ref,OR_orthogonal,6,0.6324152542372882,1.803567455833157
ref,OR_orthogonal,7,0.6581740976645435,1.83368302496771
lat,OR_orthogonal,4,0.33085896076352067,4.217285342762867
lat,OR_orthogonal,5,0.46255974508762615,2.1348528526723385
lat,OR_orthogonal,6,0.4772245762711864,2.16711002116402
lat,OR_orthogonal,7,0.5817409766454352,1.571291051308314
ref,OR_opposite,4,0.12354188759278897,2.857721032698949
ref,OR_opposite,5,0.4082934609250399,1.6440086166063945
ref,OR_opposite,6,0.5381760339342524,1.2863068853815396
ref,OR_opposite,7,0.5339342523860021,1.5517594707508882
lat,OR_opposite,4,0.11558854718981973,3.9463894844055174
lat,OR_opposite,5,0.43965975544922914,2.324225904047489
lat,OR_opposite,6,0.5063626723223754,1.7267507697145144
lat,OR_opposite,7,0.5572640509013785,1.5220497543613116
