mode,source,domain,accuracy,loss
ref,WAL,10,0.9705882352941176,0.09399796657962725
ref,WAL,11,0.9827882960413081,0.06353534543006845
ref,WAL,12,0.9722703639514731,0.11325961301454299
ref,WAL,13,0.9717868338557993,0.08174279350787401
ref,WAL,14,0.9036144578313253,0.36805505061176974
lat,WAL,10,0.9640522875816994,0.13329565656895284
lat,WAL,11,0.9363166953528399,0.20049756619333436
lat,WAL,12,0.8561525129982669,0.5066612070308025
lat,WAL,13,0.6300940438871473,1.1895434737205506
lat,WAL,14,0.9156626506024096,0.36822976978716043
ref,RUN,10,0.7082018927444795,1.1950828360393644
ref,RUN,11,0.8969594594594594,0.44719927478581667
ref,RUN,12,0.889261744966443,0.552478895150125
ref,RUN,13,0.9738372093023255,0.08866870374185964
ref,RUN,14,0.7717041800643086,1.3337579100392758
lat,RUN,10,0.8943217665615142,0.4732608846388757
lat,RUN,11,0.9037162162162162,0.6588614578369743
lat,RUN,12,0.8422818791946308,1.2108164303004743
lat,RUN,13,0.9593023255813954,0.8238601917399121
lat,RUN,14,0.6913183279742765,2.0089666128158568
ref,CLD,10,0.95,0.1539950890371322
ref,CLD,11,0.9391575663026521,0.248772203686077
ref,CLD,12,0.927710843373494,0.2805644644572386
ref,CLD,13,0.9847908745247148,0.08608213597856068
ref,CLD,14,0.8804347826086957,0.4416136696083093
lat,CLD,10,0.9602941176470589,0.23211190678404653
lat,CLD,11,0.9469578783151326,0.40064049258926554
lat,CLD,12,0.9141566265060241,0.5723413237454519
lat,CLD,13,0.8612167300380228,0.46138754624330935
lat,CLD,14,0.9254658385093167,0.31636760080631343
ref,CLU,10,0.9355345911949685,0.1716011352076748
ref,CLU,11,0.9547657512116317,0.28022386077354045
ref,CLU,12,0.9473684210526315,0.3139140116512095
ref,CLU,13,0.986,0.03595190458094066
ref,CLU,14,0.9421221864951769,0.21439233869309504
lat,CLU,10,0.7987421383647799,0.8958162201568485
lat,CLU,11,0.9337641357027464,0.2812841540941914
lat,CLU,12,0.9078947368421053,0.5444301083683968
lat,CLU,13,0.954,0.20427075139161133
lat,CLU,14,0.9517684887459807,0.3054414831101099
