Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds,G/lambda_dom,G/lambda_trts
0:01:01,100,500000,0.043386,0.028814,0.005472,0.002018,0.025622,0.005692,0.589566,706.985291,0.257328,0.272773,1.020465,0.600972,0.579800,387.707581,0.278439,0.208924,2.645595,0.000445,1.000000,0.010000,0.000000
0:01:37,200,500000,0.000037,0.004777,0.005286,0.000044,0.008219,0.005159,0.486048,424.684387,0.115640,0.117325,0.770744,0.635619,0.515925,96.185493,0.137339,0.089523,1.144502,0.000229,1.000000,0.010000,0.000000
0:02:13,300,500000,0.000238,0.001955,0.006976,0.000037,0.001596,0.006471,0.597375,372.129761,0.086547,0.082168,0.555379,0.468869,0.445507,72.312683,0.077652,0.061527,0.554023,0.000122,1.000000,0.010000,0.000000
0:02:48,400,500000,0.227189,0.002461,0.031660,0.013857,0.063159,0.017939,0.480296,76.065002,0.056339,0.052897,0.553993,0.449279,0.347930,38.712814,0.063118,0.058341,0.369578,0.000173,1.000000,0.010000,0.000000
0:03:24,500,500000,0.015033,0.004442,0.060835,0.000186,0.064599,0.021815,0.510174,181.065414,0.039877,0.038998,0.652550,0.330589,0.481799,24.595024,0.038440,0.035803,0.298653,0.000112,1.000000,0.010000,0.000000
0:03:59,600,500000,0.020605,0.000819,0.029435,0.004314,0.111297,0.034218,0.589061,125.289192,0.038073,0.038960,0.476901,0.291220,0.542713,30.290186,0.037686,0.033405,0.408782,0.000124,1.000000,0.010000,0.000000
0:04:34,700,500000,0.064074,0.002142,0.111829,0.009846,0.085878,0.042564,0.495124,109.163513,0.053237,0.054618,0.507874,0.244447,0.345959,26.310818,0.031673,0.030788,0.170542,0.000068,1.000000,0.010000,0.000000
0:05:10,800,500000,0.065610,0.000577,0.095069,0.022252,0.062010,0.033537,0.494108,113.318611,0.027427,0.027791,0.517287,0.233015,0.306065,12.882659,0.026961,0.026402,0.192096,0.000154,1.000000,0.010000,0.000000
0:05:47,900,500000,0.085713,0.000339,0.042446,0.023761,0.189915,0.049834,0.515315,32.655914,0.025033,0.021734,0.492185,0.179965,0.286696,14.477213,0.028112,0.028739,0.115408,0.000016,1.000000,0.010000,0.000000
0:06:22,1000,500000,0.058075,0.000349,0.051195,0.020469,0.084196,0.013241,0.516027,41.382042,0.023286,0.023314,0.530467,0.175805,0.254745,15.773890,0.018741,0.018499,0.051811,0.000020,1.000000,0.010000,0.000000
0:07:11,1100,500000,0.028245,0.000210,0.042717,0.006410,0.139812,0.029522,0.520999,31.232605,0.022771,0.022107,0.407365,0.118980,0.287887,21.814856,0.023155,0.023907,0.162760,0.000054,1.000000,0.010000,0.000000
0:08:13,1200,500000,0.025952,0.000201,0.044185,0.006517,0.184432,0.014118,0.504221,28.274019,0.020783,0.021644,0.525142,0.123174,0.160147,23.606615,0.022584,0.022461,0.068725,0.000016,1.000000,0.010000,0.000000
0:08:50,1300,500000,0.063766,0.000235,0.035113,0.030268,0.062136,0.014115,0.487565,20.315149,0.029006,0.029000,0.503708,0.114538,0.189782,22.266560,0.024719,0.024501,0.091706,0.000034,1.000000,0.010000,0.000000
0:09:26,1400,500000,0.057934,0.000255,0.056388,0.019114,0.150128,0.013130,0.496159,19.653635,0.024187,0.024065,0.440058,0.099284,0.279492,19.876575,0.029641,0.030024,0.360094,0.000029,1.000000,0.010000,0.000000
0:10:04,1500,500000,0.087118,0.000181,0.014124,0.045998,0.165464,0.007684,0.489022,8.048477,0.015723,0.015754,0.450698,0.090767,0.103234,23.493826,0.014191,0.014166,0.110602,0.000038,1.000000,0.010000,0.000000
0:10:40,1600,500000,0.060989,0.000990,0.088657,0.031016,0.161175,0.021745,0.498629,19.963991,0.019044,0.018845,0.532422,0.068564,0.151398,13.907361,0.017141,0.017211,0.074835,0.000072,1.000000,0.010000,0.000000
0:11:16,1700,500000,0.058634,0.001104,0.063015,0.025718,0.182877,0.008570,0.506248,8.813718,0.023920,0.024323,0.460544,0.062676,0.093148,24.141163,0.020366,0.020445,0.077292,0.000020,1.000000,0.010000,0.000000
0:11:52,1800,500000,0.042861,0.000262,0.060128,0.024059,0.063551,0.017483,0.516783,17.084118,0.027583,0.027978,0.523517,0.072792,0.326692,47.530132,0.025128,0.025071,0.095514,0.000017,1.000000,0.010000,0.000000
0:12:27,1900,500000,0.047587,0.000241,0.061455,0.025058,0.138590,0.016663,0.505929,9.410935,0.016230,0.016645,0.432160,0.072180,0.178844,18.938833,0.014074,0.014104,0.106503,0.000008,1.000000,0.010000,0.000000
0:13:03,2000,500000,0.038577,0.000332,0.017187,0.017225,0.113947,0.008500,0.559529,9.160284,0.016690,0.017514,0.403906,0.063440,0.223975,16.329660,0.016526,0.016362,0.172547,0.000027,1.000000,0.010000,0.000000
0:13:52,2100,500000,0.034287,0.000320,0.021958,0.014875,0.120970,0.010013,0.530979,11.702662,0.023232,0.023339,0.445126,0.055745,0.201962,12.849515,0.025627,0.025575,0.265692,0.000012,1.000000,0.010000,0.000000
0:14:28,2200,500000,0.043753,0.000826,0.014006,0.016974,0.198755,0.006432,0.504840,8.907372,0.021016,0.021192,0.495229,0.066278,0.200022,27.371174,0.024617,0.024504,0.160559,0.000012,1.000000,0.010000,0.000000
0:15:04,2300,500000,0.000239,0.000509,0.004710,0.000156,0.000829,0.004307,0.474979,4.203093,0.030548,0.030635,0.476752,0.032550,0.190621,20.881157,0.025683,0.028451,0.028912,0.000222,1.000000,0.010000,0.000000
0:15:59,2400,500000,0.003485,0.019690,0.009090,0.003251,0.091455,0.014446,0.524261,18.935486,0.016557,0.018617,0.522327,0.028910,0.259893,15.714314,0.019158,0.022318,0.038076,0.000093,1.000000,0.010000,0.000000
0:16:35,2500,500000,0.020378,0.023514,0.017226,0.015921,0.042430,0.035653,0.476780,16.964594,0.024701,0.025643,0.438090,0.019709,0.136488,10.160741,0.021180,0.021930,0.030776,0.000081,1.000000,0.010000,0.000000
0:17:11,2600,500000,0.054799,0.038699,0.044685,0.030095,0.089318,0.020905,0.423465,14.384025,0.019817,0.018688,0.448745,0.019027,0.387941,14.568862,0.020637,0.021464,0.050156,0.000141,1.000000,0.010000,0.000000
0:17:49,2700,500000,0.058796,0.049833,0.055380,0.044900,0.033491,0.047924,0.268712,11.918497,0.013713,0.014560,0.452279,0.010916,0.299430,15.166656,0.013924,0.017276,0.094242,0.000168,1.000000,0.010000,0.000000
0:18:25,2800,500000,0.092207,0.085773,0.047035,0.074006,0.129438,0.011713,0.218398,7.623097,0.012446,0.013462,0.408282,0.011837,0.121000,13.661594,0.012106,0.013392,0.033631,0.000087,1.000000,0.010000,0.000000
0:19:01,2900,500000,0.019453,0.091585,0.013258,0.039887,0.015350,0.063563,0.279507,19.536524,0.012348,0.016193,0.447149,0.010270,0.192460,16.853552,0.011452,0.014260,0.118438,0.000240,1.000000,0.010000,0.000000
0:19:37,3000,500000,0.072436,0.053346,0.047589,0.036020,0.099958,0.031563,0.288611,20.641682,0.016597,0.017074,0.488745,0.007531,0.225121,15.609209,0.017178,0.018833,0.056562,0.000078,1.000000,0.010000,0.000000
0:20:22,3100,500000,0.026932,0.128623,0.020012,0.073309,0.025888,0.195195,0.102780,16.369583,0.014459,0.016198,0.490769,0.009850,0.057557,8.918444,0.013260,0.014703,0.072210,0.000164,1.000000,0.010000,0.000000
0:20:58,3200,500000,0.072454,0.110879,0.032957,0.077628,0.116243,0.030556,0.167301,7.513578,0.015411,0.016086,0.364101,0.008442,0.134781,12.930315,0.015202,0.016049,0.048915,0.000154,1.000000,0.010000,0.000000
0:21:36,3300,500000,0.158447,0.101575,0.020712,0.101784,0.108945,0.012622,0.222185,21.325298,0.014584,0.015092,0.374242,0.006928,0.224736,21.861786,0.014181,0.015671,0.069111,0.000241,1.000000,0.010000,0.000000
0:22:12,3400,500000,0.080782,0.025494,0.062587,0.058818,0.039408,0.041425,0.257547,15.281640,0.013497,0.015575,0.418798,0.007001,0.280871,15.284896,0.013091,0.015217,0.100201,0.000235,1.000000,0.010000,0.000000
0:22:48,3500,500000,0.038693,0.025729,0.084360,0.032077,0.032709,0.038277,0.270626,10.731188,0.014304,0.015866,0.510305,0.008933,0.172833,18.465084,0.012703,0.014225,0.034803,0.000153,1.000000,0.010000,0.000000
0:23:44,3600,500000,0.109066,0.085291,0.050998,0.085894,0.092653,0.017561,0.242216,9.045499,0.011292,0.011735,0.354740,0.006357,0.203756,12.017490,0.010982,0.011236,0.032131,0.000197,1.000000,0.010000,0.000000
0:24:20,3700,500000,0.071041,0.104841,0.033734,0.073683,0.087686,0.025350,0.238745,6.692224,0.013808,0.015075,0.370135,0.005741,0.207554,9.046530,0.013620,0.015343,0.026600,0.000253,1.000000,0.010000,0.000000
0:24:56,3800,500000,0.104697,0.033940,0.030813,0.079932,0.037179,0.013254,0.344095,12.306436,0.012499,0.016336,0.353546,0.005307,0.175491,15.074923,0.011097,0.014537,0.044480,0.000203,1.000000,0.010000,0.000000
0:25:34,3900,500000,0.049940,0.112627,0.042897,0.077546,0.083177,0.068908,0.172640,8.540497,0.013606,0.014843,0.383426,0.006341,0.133495,9.869576,0.013077,0.014584,0.030269,0.000171,1.000000,0.010000,0.000000
0:26:11,4000,500000,0.094292,0.054246,0.039744,0.069328,0.075954,0.025214,0.276010,5.525947,0.013469,0.016349,0.356315,0.005319,0.266412,11.519125,0.012721,0.015572,0.030816,0.000278,1.000000,0.010000,0.000000
0:26:57,4100,500000,0.049057,0.090447,0.038092,0.067624,0.051771,0.069408,0.158805,6.688262,0.016218,0.017637,0.454187,0.006087,0.099588,7.484668,0.015492,0.016651,0.064308,0.000198,1.000000,0.010000,0.000000
0:27:34,4200,500000,0.073074,0.062729,0.022801,0.080050,0.046412,0.026320,0.253150,8.439940,0.015119,0.016087,0.305200,0.005147,0.214121,4.141448,0.014966,0.016335,0.041506,0.000263,1.000000,0.010000,0.000000
0:28:09,4300,500000,0.086398,0.111900,0.036953,0.084921,0.113917,0.034474,0.184424,11.162503,0.012626,0.014632,0.365600,0.004920,0.157528,22.208187,0.012149,0.012923,0.085462,0.000215,1.000000,0.010000,0.000000
0:28:45,4400,500000,0.103740,0.081773,0.036818,0.071318,0.114128,0.025155,0.191900,6.290729,0.013240,0.014275,0.307228,0.004085,0.154666,3.739837,0.012854,0.013505,0.044997,0.000113,1.000000,0.010000,0.000000
0:29:22,4500,500000,0.106190,0.087557,0.020606,0.074729,0.065911,0.016720,0.282541,2.879128,0.014354,0.015899,0.358273,0.004042,0.192409,17.184027,0.013359,0.013601,0.053543,0.000255,1.000000,0.010000,0.000000
0:29:58,4600,500000,0.089793,0.023400,0.041694,0.039159,0.102204,0.013895,0.441681,2.437771,0.014229,0.015800,0.327894,0.004488,0.444711,22.125546,0.014115,0.016199,0.096139,0.000555,1.000000,0.010000,0.000000
0:30:34,4700,500000,0.105352,0.074711,0.015522,0.080549,0.095010,0.012301,0.236387,15.304201,0.010910,0.012467,0.370207,0.004567,0.215174,19.985674,0.010088,0.012330,0.047386,0.000085,1.000000,0.010000,0.000000
0:31:29,4800,500000,0.074153,0.091121,0.027920,0.076634,0.074559,0.026159,0.237788,3.112487,0.010558,0.012187,0.336091,0.003921,0.228962,11.070613,0.011118,0.013825,0.031627,0.000141,1.000000,0.010000,0.000000
0:32:05,4900,500000,0.102164,0.101861,0.023680,0.089123,0.083318,0.022724,0.217515,5.371109,0.011946,0.013788,0.352840,0.004640,0.164504,15.415889,0.010822,0.012152,0.058121,0.000140,1.000000,0.010000,0.000000
0:32:43,5000,500000,0.092909,0.064801,0.033742,0.077657,0.055733,0.028433,0.273907,7.363515,0.012756,0.014255,0.280087,0.003944,0.126813,5.061193,0.011180,0.011345,0.058403,0.000181,1.000000,0.010000,0.000000
0:33:28,5100,500000,0.113403,0.077158,0.044321,0.082555,0.086490,0.017884,0.265819,5.846696,0.010701,0.011726,0.297309,0.005134,0.225695,15.543442,0.010221,0.011021,0.049269,0.000240,1.000000,0.010000,0.000000
0:34:04,5200,500000,0.069311,0.053009,0.033628,0.064607,0.037638,0.039128,0.257459,17.674925,0.016186,0.018279,0.320164,0.003769,0.124602,24.594076,0.013926,0.014796,0.088165,0.000274,1.000000,0.010000,0.000000
0:34:39,5300,500000,0.082072,0.112163,0.022782,0.091834,0.092424,0.034133,0.177456,1.927606,0.011833,0.012462,0.301377,0.005156,0.139042,6.880709,0.011668,0.012216,0.053824,0.000176,1.000000,0.010000,0.000000
0:35:15,5400,500000,0.071415,0.073338,0.040939,0.052342,0.089773,0.029016,0.267629,10.443470,0.016256,0.017234,0.276258,0.003367,0.236901,6.938888,0.016021,0.017065,0.074212,0.000239,1.000000,0.010000,0.000000
0:35:51,5500,500000,0.058141,0.109950,0.034722,0.101815,0.057917,0.030941,0.178454,11.472929,0.014191,0.015500,0.307106,0.003446,0.124669,11.638535,0.013330,0.015186,0.050187,0.000187,1.000000,0.010000,0.000000
0:36:27,5600,500000,0.064054,0.073786,0.029612,0.075899,0.054196,0.039940,0.242797,10.961548,0.017984,0.019758,0.305718,0.003199,0.205052,5.531901,0.017045,0.017538,0.082148,0.000319,1.000000,0.010000,0.000000
0:37:03,5700,500000,0.075450,0.129712,0.026187,0.095408,0.059226,0.035923,0.218662,10.025602,0.013967,0.014632,0.301084,0.002696,0.178089,8.976244,0.013465,0.013959,0.118625,0.000289,1.000000,0.010000,0.000000
0:37:39,5800,500000,0.090670,0.078670,0.072113,0.069322,0.120899,0.024506,0.189946,7.905572,0.012549,0.013716,0.295921,0.003342,0.146039,12.378241,0.012304,0.013337,0.041308,0.000169,1.000000,0.010000,0.000000
0:38:15,5900,500000,0.108277,0.068303,0.044236,0.080800,0.090851,0.027224,0.222942,9.621982,0.011341,0.012255,0.283726,0.004000,0.161357,14.003414,0.011122,0.012445,0.058226,0.000261,1.000000,0.010000,0.000000
0:39:10,6000,500000,0.074646,0.098718,0.030913,0.079126,0.105218,0.019396,0.245315,10.212974,0.008525,0.009417,0.303596,0.004369,0.203103,6.658580,0.008364,0.009804,0.038853,0.000240,1.000000,0.010000,0.000000
0:39:54,6100,500000,0.082964,0.069386,0.032229,0.059040,0.089729,0.026096,0.227468,3.327805,0.012790,0.013669,0.303249,0.003598,0.154426,3.930418,0.012480,0.013184,0.070998,0.000165,1.000000,0.010000,0.000000
0:40:32,6200,500000,0.086831,0.063529,0.035168,0.077476,0.085775,0.025142,0.261188,7.170643,0.012745,0.013846,0.291391,0.003036,0.216344,3.806900,0.012583,0.014153,0.093244,0.000303,1.000000,0.010000,0.000000
0:41:08,6300,500000,0.096930,0.074589,0.025756,0.078296,0.070646,0.012824,0.304975,7.532085,0.009075,0.011084,0.277238,0.003461,0.227164,2.357321,0.008223,0.009687,0.043343,0.000372,1.000000,0.010000,0.000000
0:41:44,6400,500000,0.098135,0.077925,0.027838,0.107363,0.043756,0.070318,0.138075,4.606649,0.012204,0.014097,0.281634,0.003497,0.106406,2.938124,0.011500,0.012511,0.228422,0.000205,1.000000,0.010000,0.000000
0:42:20,6500,500000,0.129797,0.076762,0.035582,0.063168,0.107149,0.018798,0.228084,14.349522,0.013760,0.015720,0.291517,0.002760,0.183998,18.001514,0.013105,0.013394,0.054214,0.000321,1.000000,0.010000,0.000000
0:42:55,6600,500000,0.080250,0.082168,0.053047,0.057749,0.076145,0.045629,0.223851,4.886364,0.013093,0.014264,0.273408,0.003731,0.134407,11.843243,0.012823,0.013616,0.079417,0.000166,1.000000,0.010000,0.000000
0:43:31,6700,500000,0.109998,0.042194,0.028986,0.077335,0.056575,0.032693,0.283984,2.346252,0.011866,0.013179,0.288327,0.003730,0.134922,12.099625,0.011116,0.011454,0.183434,0.000221,1.000000,0.010000,0.000000
0:44:08,6800,500000,0.061713,0.083339,0.041977,0.072868,0.058629,0.051499,0.197940,4.241535,0.017497,0.018906,0.328317,0.003309,0.152068,5.598338,0.016812,0.017302,0.218161,0.000208,1.000000,0.010000,0.000000
0:44:44,6900,500000,0.117687,0.105971,0.038003,0.064313,0.127720,0.030714,0.178726,5.336703,0.015559,0.017025,0.268561,0.002750,0.132434,4.473982,0.015368,0.015663,0.168761,0.000202,1.000000,0.010000,0.000000
0:45:19,7000,500000,0.089798,0.100865,0.024159,0.100149,0.045721,0.017154,0.300008,6.871518,0.012668,0.014228,0.220186,0.002810,0.269179,7.347583,0.012678,0.013461,0.113039,0.000235,1.000000,0.010000,0.000000
0:46:05,7100,500000,0.073770,0.131062,0.022134,0.089898,0.088540,0.024378,0.205840,7.740082,0.011924,0.012554,0.241581,0.003151,0.170441,3.858893,0.011875,0.012439,0.104820,0.000338,1.000000,0.010000,0.000000
0:47:00,7200,500000,0.119625,0.095025,0.036647,0.066740,0.132643,0.022192,0.194075,2.645031,0.012978,0.013600,0.252425,0.003837,0.150202,6.570708,0.012842,0.012971,0.060169,0.000246,1.000000,0.010000,0.000000
0:47:38,7300,500000,0.091975,0.056008,0.019590,0.082200,0.036345,0.014697,0.342919,8.106273,0.011997,0.014061,0.213123,0.002933,0.184041,20.939129,0.010898,0.011457,0.263182,0.000174,1.000000,0.010000,0.000000
0:48:15,7400,500000,0.062573,0.050041,0.063188,0.041631,0.044653,0.041676,0.275957,1.128283,0.017073,0.018580,0.264455,0.002998,0.127304,5.200866,0.016791,0.017397,0.251422,0.000193,1.000000,0.010000,0.000000
0:48:50,7500,500000,0.144249,0.051297,0.017461,0.093435,0.098063,0.021392,0.199649,2.638554,0.008985,0.010791,0.260715,0.004119,0.179105,7.021480,0.008863,0.010196,0.137372,0.000312,1.000000,0.010000,0.000000
0:49:26,7600,500000,0.102289,0.079626,0.036917,0.080828,0.080407,0.038202,0.213833,3.669960,0.012558,0.013801,0.235622,0.003099,0.142073,3.060582,0.012186,0.012338,0.108332,0.000277,1.000000,0.010000,0.000000
0:50:02,7700,500000,0.090882,0.097985,0.022660,0.090851,0.091371,0.018676,0.212027,1.180769,0.012422,0.013713,0.238629,0.003102,0.192210,0.288076,0.012332,0.013065,0.046024,0.000146,1.000000,0.010000,0.000000
0:50:38,7800,500000,0.094095,0.037986,0.031861,0.057361,0.069080,0.017979,0.373290,2.775008,0.011985,0.013659,0.241807,0.002938,0.201141,8.898116,0.011587,0.011878,0.286047,0.000211,1.000000,0.010000,0.000000
0:51:14,7900,500000,0.107671,0.096066,0.018063,0.112309,0.061222,0.018799,0.255894,2.230746,0.011387,0.012551,0.208191,0.002829,0.224461,5.621134,0.011285,0.012192,0.121615,0.000263,1.000000,0.010000,0.000000
0:51:50,8000,500000,0.098722,0.046769,0.038076,0.044900,0.097615,0.012833,0.301318,0.182808,0.014798,0.016303,0.218013,0.002665,0.171127,5.893102,0.014069,0.014487,0.175312,0.000247,1.000000,0.010000,0.000000
0:52:36,8100,500000,0.064927,0.117493,0.031326,0.074517,0.094040,0.030703,0.191227,6.097446,0.012531,0.013266,0.245016,0.004002,0.138536,6.246070,0.012049,0.012516,0.071004,0.000262,1.000000,0.010000,0.000000
0:53:12,8200,500000,0.082141,0.117001,0.032686,0.083541,0.105325,0.039576,0.172970,7.467101,0.013576,0.015177,0.223872,0.002817,0.132588,1.433192,0.013339,0.014418,0.055666,0.000182,1.000000,0.010000,0.000000
