Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds,G/lambda_dom,G/lambda_trts
0:01:01,100,500000,0.048609,0.028161,0.005518,0.001623,0.031201,0.005999,0.687342,798.405884,0.299695,0.274183,1.222348,0.647188,0.452468,375.114014,0.306057,0.217571,2.707181,0.000384,1.000000,0.010000,0.000000
0:01:36,200,500000,0.003465,0.013278,0.006232,0.000618,0.004436,0.006137,0.475000,461.999969,0.123962,0.115109,0.875942,0.640257,0.509480,133.181976,0.120561,0.088121,0.912323,0.000188,1.000000,0.010000,0.000000
0:02:11,300,500000,0.016054,0.007159,0.013371,0.002202,0.001626,0.007626,0.446890,522.162781,0.088780,0.089277,0.693716,0.526437,0.442772,70.312500,0.078512,0.063172,0.397810,0.000090,1.000000,0.010000,0.000000
0:02:46,400,500000,0.434924,0.002210,0.012071,0.087686,0.027828,0.006279,0.557014,99.495590,0.051711,0.050730,0.576625,0.486794,0.278862,42.250751,0.062391,0.057663,0.547720,0.000074,1.000000,0.010000,0.000000
0:03:21,500,500000,0.024761,0.002830,0.107389,0.000669,0.036551,0.023176,0.624157,133.208496,0.045480,0.045335,0.685490,0.322938,0.446210,31.720886,0.042163,0.036555,0.275454,0.000034,1.000000,0.010000,0.000000
0:03:56,600,500000,0.003103,0.002491,0.029312,0.000181,0.049021,0.014937,0.565040,132.797134,0.058175,0.060405,0.552687,0.311281,0.600478,65.314934,0.062034,0.056893,1.603866,0.000128,1.000000,0.010000,0.000000
0:04:31,700,500000,0.002195,0.007861,0.015420,0.000105,0.101621,0.017189,0.687586,47.537632,0.038993,0.041100,0.597370,0.309119,0.676804,10.155615,0.043799,0.044907,0.155646,0.000043,1.000000,0.010000,0.000000
0:05:06,800,500000,0.003258,0.000849,0.009887,0.000306,0.017170,0.010788,0.544759,119.954353,0.055517,0.053386,0.540888,0.241742,0.495418,29.354895,0.051779,0.046045,0.679930,0.000013,1.000000,0.010000,0.000000
0:05:41,900,500000,0.054493,0.000256,0.013639,0.000900,0.097273,0.014173,0.556551,100.523346,0.031872,0.033552,0.670598,0.197495,0.609349,21.796967,0.033575,0.035805,0.351925,0.000045,1.000000,0.010000,0.000000
0:06:16,1000,500000,0.025990,0.001346,0.094276,0.003537,0.030252,0.012923,0.526769,67.071625,0.029546,0.026680,0.558822,0.225145,0.476409,41.806541,0.037125,0.032779,0.962743,0.000041,1.000000,0.010000,0.000000
0:07:05,1100,500000,0.041477,0.000528,0.043001,0.010423,0.213446,0.011114,0.516634,55.150932,0.021196,0.021271,0.437845,0.217553,0.311529,12.902594,0.030039,0.024273,0.272513,0.000066,1.000000,0.010000,0.000000
0:08:05,1200,500000,0.065173,0.000912,0.040666,0.022850,0.183700,0.011372,0.499334,98.136505,0.017589,0.017484,0.566324,0.181821,0.213934,20.832298,0.018556,0.018695,0.161375,0.000021,1.000000,0.010000,0.000000
0:08:41,1300,500000,0.090142,0.000352,0.052242,0.043122,0.184390,0.006379,0.480717,28.024050,0.014827,0.014775,0.545142,0.158688,0.112159,21.692743,0.016540,0.016417,0.052658,0.000008,1.000000,0.010000,0.000000
0:09:17,1400,500000,0.086209,0.000298,0.016575,0.037985,0.145072,0.005498,0.508430,30.898870,0.016511,0.016593,0.430685,0.122686,0.308956,12.912818,0.018721,0.018672,0.189693,0.000003,1.000000,0.010000,0.000000
0:09:53,1500,500000,0.053587,0.000902,0.063040,0.023058,0.144618,0.014142,0.498306,20.532379,0.018714,0.018638,0.587701,0.130823,0.121104,16.365181,0.019202,0.019314,0.216694,0.000004,1.000000,0.010000,0.000000
0:10:29,1600,500000,0.071498,0.000221,0.044684,0.040223,0.150035,0.010360,0.494376,20.218184,0.016246,0.016205,0.440369,0.122673,0.135653,5.779856,0.016044,0.016071,0.087614,0.000005,1.000000,0.010000,0.000000
0:11:05,1700,500000,0.075358,0.000477,0.023398,0.038091,0.196414,0.009018,0.534568,18.986561,0.017286,0.017342,0.483075,0.115966,0.131770,14.650138,0.016854,0.017029,0.086173,0.000003,1.000000,0.010000,0.000000
0:11:41,1800,500000,0.050786,0.000198,0.044314,0.028654,0.117657,0.016647,0.520088,17.032986,0.017961,0.017783,0.517433,0.085702,0.216666,17.620892,0.019300,0.019259,0.152829,0.000004,1.000000,0.010000,0.000000
0:12:17,1900,500000,0.031825,0.000313,0.032472,0.013162,0.174563,0.025558,0.514162,14.538741,0.014491,0.014420,0.447220,0.087747,0.247120,15.334799,0.016147,0.016159,0.447690,0.000007,1.000000,0.010000,0.000000
0:12:53,2000,500000,0.043559,0.000371,0.022357,0.022043,0.149958,0.011070,0.513803,18.646763,0.015506,0.015738,0.446857,0.092670,0.189390,16.419008,0.019789,0.019935,0.094257,0.000022,1.000000,0.010000,0.000000
0:13:38,2100,500000,0.044062,0.000855,0.066123,0.018088,0.095408,0.014126,0.502969,2.533187,0.018936,0.019169,0.458333,0.081135,0.264068,28.471502,0.019676,0.019636,0.083813,0.000008,1.000000,0.010000,0.000000
0:14:13,2200,500000,0.054150,0.000345,0.023311,0.021805,0.165097,0.011121,0.509775,11.607144,0.019034,0.018969,0.526252,0.086969,0.139854,17.241899,0.017711,0.017677,0.095352,0.000002,1.000000,0.010000,0.000000
0:14:49,2300,500000,0.045831,0.000087,0.035988,0.024830,0.164318,0.010692,0.525872,18.865183,0.014433,0.014478,0.415556,0.071885,0.146446,30.270885,0.013926,0.013890,0.079289,0.000004,1.000000,0.010000,0.000000
0:15:46,2400,500000,0.044976,0.001196,0.006858,0.025494,0.187301,0.009994,0.486629,26.190773,0.011560,0.011440,0.486157,0.085381,0.168482,13.662078,0.014482,0.014630,0.100162,0.000004,1.000000,0.010000,0.000000
0:16:22,2500,500000,0.041366,0.000159,0.019623,0.023965,0.162387,0.014998,0.529842,9.738650,0.016897,0.016883,0.380669,0.062457,0.149934,9.823379,0.016118,0.016038,0.084586,0.000003,1.000000,0.010000,0.000000
0:16:58,2600,500000,0.055973,0.000956,0.046277,0.019050,0.153307,0.014028,0.519313,19.891535,0.017748,0.017661,0.413132,0.063024,0.206559,5.275312,0.018927,0.018959,0.060579,0.000004,1.000000,0.010000,0.000000
0:17:34,2700,500000,0.040228,0.000047,0.007303,0.024571,0.135491,0.006889,0.510417,11.461985,0.011428,0.011439,0.439578,0.051337,0.165579,21.895569,0.013816,0.013805,0.252442,0.000008,1.000000,0.010000,0.000000
0:18:10,2800,500000,0.038583,0.002665,0.061771,0.017576,0.087499,0.011895,0.483984,35.968624,0.023691,0.024102,0.691776,0.031644,0.304439,47.346470,0.027025,0.026503,0.024011,0.000095,1.000000,0.010000,0.000000
0:18:46,2900,500000,0.035349,0.016714,0.053501,0.020640,0.090422,0.013111,0.506942,20.459345,0.017483,0.017681,0.627041,0.019602,0.138099,24.679968,0.021161,0.021485,0.010958,0.000091,1.000000,0.010000,0.000000
0:19:22,3000,500000,0.088465,0.049145,0.049354,0.032256,0.105748,0.027468,0.328599,21.787868,0.016951,0.016816,0.598884,0.012640,0.215843,16.584217,0.023517,0.023581,0.011394,0.000062,1.000000,0.010000,0.000000
0:20:06,3100,500000,0.044605,0.163941,0.025037,0.069472,0.053987,0.061196,0.201178,15.930246,0.015233,0.015159,0.661940,0.012410,0.264087,4.681735,0.019890,0.019743,0.012840,0.000030,1.000000,0.010000,0.000000
0:20:42,3200,500000,0.069825,0.031033,0.024361,0.051597,0.054228,0.028922,0.370511,8.362735,0.016928,0.016995,0.456931,0.009886,0.318764,5.620117,0.017620,0.017857,0.007844,0.000032,1.000000,0.010000,0.000000
0:21:18,3300,500000,0.066805,0.056288,0.035350,0.058409,0.063069,0.033210,0.341025,22.309235,0.017729,0.017976,0.445297,0.009115,0.279071,27.254629,0.018973,0.019132,0.005988,0.000035,1.000000,0.010000,0.000000
0:21:54,3400,500000,0.083339,0.017419,0.043378,0.051190,0.033573,0.026188,0.347554,15.869046,0.014748,0.015035,0.510405,0.007790,0.379419,11.458265,0.015299,0.015453,0.007760,0.000015,1.000000,0.010000,0.000000
0:22:30,3500,500000,0.086260,0.055117,0.019515,0.063773,0.081179,0.020121,0.245749,17.195862,0.014473,0.014755,0.551819,0.007707,0.233951,5.499713,0.014935,0.015273,0.004969,0.000014,1.000000,0.010000,0.000000
0:23:27,3600,500000,0.102142,0.070575,0.012230,0.066802,0.099436,0.011922,0.288885,18.690331,0.013951,0.014060,0.404517,0.007599,0.289874,11.464333,0.015866,0.016126,0.004875,0.000014,1.000000,0.010000,0.000000
0:24:03,3700,500000,0.077687,0.062771,0.024328,0.074982,0.050184,0.029813,0.307050,14.723732,0.013948,0.013924,0.435626,0.006360,0.158183,8.966890,0.014364,0.014172,0.006827,0.000017,1.000000,0.010000,0.000000
0:24:39,3800,500000,0.094472,0.075442,0.014234,0.092785,0.062880,0.021949,0.256932,14.312205,0.013615,0.013231,0.426694,0.005420,0.303377,12.994937,0.017469,0.017267,0.006783,0.000010,1.000000,0.010000,0.000000
0:25:15,3900,500000,0.072874,0.093760,0.032096,0.087623,0.076209,0.030096,0.203515,13.872193,0.013208,0.013251,0.451810,0.006631,0.201234,7.922410,0.013641,0.013788,0.004006,0.000010,1.000000,0.010000,0.000000
0:25:51,4000,500000,0.084723,0.059823,0.023100,0.076443,0.056348,0.022567,0.263617,22.748259,0.013506,0.013444,0.419697,0.006239,0.231484,14.191287,0.016461,0.016555,0.002575,0.000011,1.000000,0.010000,0.000000
0:26:36,4100,500000,0.070629,0.073088,0.027407,0.062616,0.087643,0.019407,0.253497,6.223835,0.017013,0.017165,0.551804,0.006385,0.219002,9.328713,0.017282,0.017334,0.003960,0.000005,1.000000,0.010000,0.000000
