Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds,G/lambda_dom,G/lambda_trts
0:00:56,100,500000,0.000290,0.024484,0.012281,0.004059,0.008299,0.012266,0.614320,62.629227,0.367108,0.336644,0.657375,0.612979,0.508922,38.152229,0.342000,0.284397,3.477843,0.019785,1.000000,0.100000,0.000000
0:01:28,200,500000,0.031564,0.012103,0.042657,0.002060,0.062670,0.016214,0.442924,58.771877,0.203587,0.178837,0.592837,0.514093,0.606751,30.159014,0.190944,0.155289,0.986467,0.005846,1.000000,0.100000,0.000000
0:01:59,300,500000,0.123490,0.002390,0.058478,0.008860,0.047192,0.022973,0.541099,39.038162,0.168171,0.150980,0.550282,0.450163,0.356153,17.803520,0.162943,0.132995,0.531253,0.003703,1.000000,0.100000,0.000000
0:02:31,400,500000,0.113686,0.008107,0.039880,0.004286,0.105143,0.027931,0.487267,36.691765,0.121268,0.119153,0.678159,0.391279,0.395779,20.385218,0.115192,0.100388,0.802864,0.023242,1.000000,0.100000,0.000000
0:03:02,500,500000,0.043544,0.009799,0.044747,0.010078,0.083971,0.029610,0.572438,41.572830,0.127904,0.104305,0.496857,0.392920,0.372872,14.472038,0.113307,0.094202,0.421500,0.004283,1.000000,0.100000,0.000000
0:03:34,600,500000,0.059763,0.001173,0.034960,0.014417,0.124443,0.030793,0.546473,27.068678,0.107436,0.090527,1.496143,0.339452,0.412642,12.108512,0.094753,0.079393,0.411697,0.012828,1.000000,0.100000,0.000000
0:04:05,700,500000,0.117994,0.002202,0.037510,0.025183,0.141486,0.024588,0.486891,22.892338,0.088794,0.086815,0.428171,0.307367,0.309761,12.276568,0.084727,0.074605,0.198593,0.001114,1.000000,0.100000,0.000000
0:04:37,800,500000,0.093252,0.001688,0.028131,0.023260,0.106510,0.018806,0.497923,6.976902,0.103128,0.087242,0.501020,0.261896,0.245028,4.868802,0.087668,0.074917,0.505864,0.001209,1.000000,0.100000,0.000000
0:05:08,900,500000,0.091745,0.001801,0.050368,0.018427,0.147362,0.023169,0.486730,32.793812,0.076258,0.069016,0.542487,0.226993,0.257439,12.306566,0.071792,0.061806,0.623498,0.004468,1.000000,0.100000,0.000000
0:06:04,1000,500000,0.090412,0.001149,0.039177,0.028392,0.084219,0.022096,0.488058,17.913761,0.097063,0.091028,0.557869,0.205556,0.215695,9.901379,0.083000,0.075739,0.406314,0.001537,1.000000,0.100000,0.000000
0:06:46,1100,500000,0.055541,0.000126,0.043690,0.022113,0.154539,0.021290,0.511917,14.329372,0.090756,0.080867,0.468260,0.173929,0.319382,12.494009,0.083580,0.074916,0.396684,0.000652,1.000000,0.100000,0.000000
0:07:18,1200,500000,0.063295,0.000444,0.034846,0.016965,0.090124,0.027005,0.487721,13.118579,0.091228,0.082819,0.516359,0.166051,0.263331,10.808070,0.081157,0.074639,0.659750,0.001331,1.000000,0.100000,0.000000
0:07:51,1300,500000,0.064392,0.001884,0.057122,0.008582,0.062228,0.019603,0.491217,13.675165,0.116647,0.108280,0.535081,0.123867,0.355769,13.782784,0.094630,0.084973,0.085037,0.013779,1.000000,0.100000,0.000000
0:08:23,1400,500000,0.076933,0.000954,0.056365,0.015779,0.059512,0.021618,0.531371,11.175876,0.091780,0.084464,0.444502,0.087178,0.255206,5.868085,0.081409,0.075403,0.060146,0.006131,1.000000,0.100000,0.000000
0:08:55,1500,500000,0.078517,0.001753,0.068955,0.025393,0.066075,0.018621,0.503240,8.778936,0.084546,0.080050,0.492095,0.079154,0.248231,7.350026,0.079109,0.071355,0.075753,0.009080,1.000000,0.100000,0.000000
