Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds,G/lambda_dom,G/lambda_trts
0:00:54,100,500000,0.006953,0.016775,0.009579,0.001650,0.013967,0.009182,0.420646,43.883675,0.401965,0.406463,0.623798,0.624544,0.539680,39.534389,0.407501,0.352652,4.074788,0.022886,1.000000,0.100000,0.000000
0:01:25,200,500000,0.032187,0.008816,0.026415,0.003376,0.029065,0.014113,0.524947,57.624275,0.232991,0.218336,0.616425,0.492468,0.566437,32.653194,0.221630,0.193717,2.370711,0.014085,1.000000,0.100000,0.000000
0:01:57,300,500000,0.055860,0.008483,0.043729,0.001931,0.033051,0.021190,0.382176,44.089077,0.195376,0.177970,0.522529,0.436579,0.500613,19.771839,0.182842,0.159851,0.850072,0.006494,1.000000,0.100000,0.000000
0:02:30,400,500000,0.114332,0.009206,0.040903,0.004327,0.118354,0.018808,0.513119,28.577003,0.144916,0.135997,0.637350,0.413306,0.509259,26.381826,0.147544,0.119855,0.738819,0.009704,1.000000,0.100000,0.000000
0:03:03,500,500000,0.010509,0.004404,0.040317,0.000162,0.082501,0.028215,0.720082,50.081245,0.143332,0.125718,0.513914,0.389048,0.562087,20.320463,0.140240,0.114916,0.880095,0.005546,1.000000,0.100000,0.000000
0:03:34,600,500000,0.068161,0.000993,0.031624,0.012894,0.098525,0.022785,0.530861,28.884552,0.109783,0.102950,0.528737,0.312996,0.389464,13.326277,0.104711,0.091484,0.412318,0.003729,1.000000,0.100000,0.000000
0:04:04,700,500000,0.027024,0.001807,0.010303,0.006221,0.005595,0.011125,0.484535,23.207962,0.263170,0.244461,0.454122,0.248540,0.528134,23.617167,0.254280,0.231583,0.345226,0.031972,1.000000,0.100000,0.000000
0:04:36,800,500000,0.281808,0.006853,0.017653,0.065249,0.025392,0.007289,0.414697,12.747172,0.160184,0.138190,0.504991,0.219469,0.332811,12.221197,0.162191,0.123703,0.182356,0.009778,1.000000,0.100000,0.000000
0:05:08,900,500000,0.014303,0.000334,0.035782,0.000696,0.018571,0.017182,0.514442,31.912991,0.145179,0.136575,0.508759,0.189965,0.463056,28.999828,0.130660,0.121619,0.138352,0.016155,1.000000,0.100000,0.000000
0:06:04,1000,500000,0.116335,0.002732,0.040617,0.014591,0.128943,0.012825,0.513616,14.234707,0.119848,0.111356,0.521361,0.151678,0.410357,15.798623,0.117593,0.101756,0.086538,0.006670,1.000000,0.100000,0.000000
0:06:48,1100,500000,0.072623,0.002737,0.049164,0.028664,0.103746,0.018415,0.536443,12.943376,0.116349,0.106213,0.477637,0.120176,0.402474,10.929620,0.115609,0.096801,0.125537,0.004774,1.000000,0.100000,0.000000
0:07:19,1200,500000,0.040028,0.000636,0.042264,0.010275,0.055856,0.023883,0.516926,7.614170,0.111225,0.100825,0.528602,0.104390,0.326339,6.910190,0.097846,0.088236,0.123120,0.006541,1.000000,0.100000,0.000000
0:07:51,1300,500000,0.073827,0.000530,0.035975,0.012752,0.092205,0.021245,0.485282,7.116340,0.090521,0.089894,0.502258,0.088732,0.368498,11.107210,0.082752,0.078991,0.079970,0.011715,1.000000,0.100000,0.000000
0:08:23,1400,500000,0.057645,0.000956,0.042864,0.010963,0.098940,0.022992,0.541433,6.867731,0.096086,0.092279,0.438487,0.082123,0.409068,9.793102,0.090812,0.080889,0.066108,0.008129,1.000000,0.100000,0.000000
0:08:55,1500,500000,0.115397,0.000981,0.040028,0.038613,0.049478,0.012771,0.505723,7.283753,0.099147,0.091464,0.472663,0.068849,0.216430,4.746974,0.088032,0.077794,0.118909,0.011415,1.000000,0.100000,0.000000
0:09:28,1600,500000,0.035754,0.010288,0.033629,0.012374,0.175549,0.030138,0.567432,4.736276,0.074471,0.068808,0.512565,0.068826,0.272118,8.213025,0.072373,0.067512,0.075383,0.005126,1.000000,0.100000,0.000000
0:10:02,1700,500000,0.062195,0.002330,0.044386,0.017249,0.134107,0.020271,0.523093,5.341830,0.074884,0.074451,0.508027,0.056478,0.279838,9.453691,0.071365,0.067381,0.161147,0.006811,1.000000,0.100000,0.000000
0:10:34,1800,500000,0.075848,0.004495,0.027362,0.013020,0.104820,0.021616,0.522396,6.056956,0.077465,0.074966,0.490369,0.058621,0.276803,8.937131,0.077107,0.071207,0.143452,0.011217,1.000000,0.100000,0.000000
0:11:05,1900,500000,0.035947,0.019961,0.036776,0.016201,0.091292,0.029423,0.578753,3.295111,0.081594,0.078331,0.591198,0.052184,0.359129,3.146046,0.080178,0.076973,0.131721,0.010182,1.000000,0.100000,0.000000
