Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds,G/lambda_dom,G/lambda_trts
0:00:56,100,500000,0.001787,0.004513,0.009888,0.000558,0.002772,0.009555,0.454055,98.827698,0.412005,0.427483,0.549470,0.625056,0.519281,55.106800,0.451635,0.388398,4.088524,0.022265,1.000000,0.100000,0.000000
0:01:27,200,500000,0.001438,0.003309,0.007804,0.000313,0.006192,0.007713,0.534387,68.750870,0.282689,0.256802,0.619736,0.480592,0.467236,41.791862,0.282431,0.233973,2.578701,0.019077,1.000000,0.100000,0.000000
0:01:58,300,500000,0.017684,0.002296,0.047868,0.000783,0.010510,0.015629,0.460651,77.416451,0.194982,0.184487,0.498189,0.403016,0.505156,36.727730,0.195051,0.161769,1.446061,0.019888,1.000000,0.100000,0.000000
0:02:28,400,500000,0.048255,0.002547,0.063363,0.001168,0.144794,0.026158,0.608277,42.057980,0.156783,0.139178,0.718195,0.350162,0.577368,16.588709,0.156158,0.146568,2.070701,0.042139,1.000000,0.100000,0.000000
0:02:59,500,500000,0.014920,0.006191,0.061981,0.001882,0.073761,0.032815,0.548408,39.624249,0.148437,0.142322,0.539406,0.318681,0.466929,23.028337,0.140406,0.132002,1.075831,0.006873,1.000000,0.100000,0.000000
0:03:30,600,500000,0.138168,0.001969,0.044830,0.026134,0.077183,0.030897,0.581367,18.494949,0.130418,0.114485,0.513049,0.281503,0.324541,10.612879,0.124067,0.101335,0.392609,0.001789,1.000000,0.100000,0.000000
0:04:00,700,500000,0.099185,0.004872,0.031268,0.019610,0.036355,0.022913,0.474661,32.861122,0.114037,0.103882,0.474630,0.232402,0.384801,12.684772,0.111060,0.093055,1.331071,0.003985,1.000000,0.100000,0.000000
0:04:31,800,500000,0.037177,0.000948,0.043869,0.004631,0.136322,0.028675,0.542870,27.316824,0.118200,0.109290,0.507257,0.208640,0.336592,13.704866,0.112834,0.096204,0.373030,0.003641,1.000000,0.100000,0.000000
0:05:03,900,500000,0.110606,0.000510,0.044243,0.010572,0.126810,0.019708,0.490532,23.754307,0.096435,0.088725,0.529796,0.192579,0.276019,17.264645,0.094425,0.084039,0.612024,0.005926,1.000000,0.100000,0.000000
0:05:34,1000,500000,0.056662,0.000137,0.039784,0.011224,0.077910,0.026907,0.503905,26.690763,0.089194,0.090236,0.549659,0.155379,0.298696,15.127375,0.082135,0.076009,0.409929,0.008744,1.000000,0.100000,0.000000
0:06:16,1100,500000,0.020467,0.000694,0.048844,0.001364,0.125598,0.027700,0.503121,14.115719,0.090031,0.084565,0.506821,0.129062,0.337244,15.611581,0.082452,0.075939,0.558412,0.003301,1.000000,0.100000,0.000000
0:06:48,1200,500000,0.052442,0.000878,0.035113,0.010888,0.067416,0.024174,0.457379,10.888270,0.104407,0.094429,0.508897,0.122318,0.288756,13.832558,0.088394,0.080701,0.745209,0.012405,1.000000,0.100000,0.000000
0:07:20,1300,500000,0.044047,0.001306,0.033495,0.005570,0.108416,0.023146,0.496805,13.534053,0.089213,0.085466,0.455585,0.117941,0.316692,7.067093,0.089699,0.078052,0.409910,0.003014,1.000000,0.100000,0.000000
0:07:53,1400,500000,0.085210,0.002235,0.035872,0.015824,0.083671,0.017594,0.451478,8.729274,0.113329,0.101953,0.437963,0.104145,0.318201,19.492254,0.111768,0.096265,1.140285,0.003914,1.000000,0.100000,0.000000
0:08:48,1500,500000,0.021986,0.002933,0.037431,0.003998,0.082111,0.030467,0.548839,3.784320,0.088403,0.079838,0.462265,0.083888,0.437936,13.589760,0.078367,0.074978,0.421258,0.001945,1.000000,0.100000,0.000000
0:09:22,1600,500000,0.068386,0.000688,0.035657,0.016046,0.044814,0.024541,0.498974,13.600981,0.093672,0.085430,0.430144,0.082874,0.343782,8.276688,0.082796,0.076760,0.770106,0.006429,1.000000,0.100000,0.000000
0:09:54,1700,500000,0.038149,0.001077,0.048432,0.007481,0.046891,0.029280,0.503054,11.197311,0.070734,0.069781,0.478405,0.080842,0.495216,8.906846,0.070454,0.062784,0.551642,0.007082,1.000000,0.100000,0.000000
